Team,Mat,Won,Lost,Tied,NR,W/L,Runs,Inns,HS,LS,Season,AveRPW,AveRPO
Netherlands,12,5,7,0,0,0.7142857142857143,1651,12,217.0,87.0,2024,18.76,7.29
Netherlands,8,4,4,0,0,1.0,1007,8,158.0,135.0,2022/23,17.36,6.4
Netherlands,7,4,3,0,0,1.3333333333333333,980,7,187.0,95.0,2022,24.5,7.52
Netherlands,3,0,3,0,0,0.0,314,3,164.0,44.0,2021/22,13.08,6.28
Nepal,13,7,6,0,0,1.1666666666666667,1674,13,236.0,64.0,2019/20,19.92,7.42
Nepal,5,4,1,0,0,4.0,915,5,238.0,0.0,2021,50.83,10.49
Nepal,1,0,1,0,0,0.0,72,1,72.0,72.0,2014/15,7.2,3.6
Nepal,3,2,1,0,0,2.0,705,3,314.0,0.0,2023,37.1,11.75
Nepal,3,2,0,1,0,2.0,491,3,170.0,0.0,2024/25,28.88,8.36
Nepal,5,3,2,0,0,1.5,676,5,175.0,114.0,2022,18.27,6.9
Nepal,7,1,6,0,0,0.16666666666666666,712,7,141.0,53.0,2015,11.3,5.41
Nepal,13,10,3,0,0,3.3333333333333335,1922,13,223.0,107.0,2021/22,26.32,7.93
Nepal,13,6,7,0,0,0.8571428571428571,1690,13,210.0,85.0,2024,18.57,7.14
Nepal,3,2,1,0,0,2.0,347,3,132.0,0.0,2018/19,16.52,7.01
Nepal,1,0,0,0,1,0.0,0,0,0.0,0.0,2018,0.0,0.0
Nepal,19,10,7,1,1,1.4285714285714286,2830,18,213.0,85.0,2023/24,24.82,8.54
Nepal,6,4,2,0,0,2.0,762,6,173.0,109.0,2019,21.77,7.82
Namibia,3,3,0,0,0,3.0,458,3,189.0,0.0,2021,38.16,8.35
Namibia,13,3,9,1,0,0.3333333333333333,1745,13,212.0,72.0,2024,19.6,7.1
