Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
C Brennan (JER),7,7,1,146,67*,24.33,116,125.86,0,1,1,11,8,2023
C Brennan (JER),3,2,1,18,17,18.00,13,138.46,0,0,0,0,1,2022
C Bogdanos (GRC),2,2,1,64,39*,64.00,77,83.11,0,0,0,3,0,2024
C Bogdanos (GRC),4,4,1,31,20,10.33,46,67.39,0,0,0,2,0,2022
C Bisson (JER),6,6,1,74,30*,14.80,63,117.46,0,0,1,5,2,2019/20
C Bisson (JER),8,8,1,152,54,21.71,114,133.33,0,1,2,19,3,2019
C Bayraktar (TKY),3,3,0,26,12,8.66,34,76.47,0,0,0,0,2,2022
C Bah (SLE),16,11,2,88,15,9.77,85,103.52,0,0,0,7,1,2023/24
C Bah (SLE),6,4,0,24,12,6.00,22,109.09,0,0,1,1,2,2022/23
C Bah (SLE),2,1,0,2,2,2.00,3,66.66,0,0,0,0,0,2021/22
C Akyuz (TKY),1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2019
Bukhar Illikkal (QAT),6,1,1,4,4*,-,6,66.66,0,0,0,0,0,2023/24
Bukhar Illikkal (QAT),5,3,1,8,4,4.00,11,72.72,0,0,0,0,0,2023
Bipin Kumar (QAT),4,-,-,-,-,-,-,-,-,-,-,-,-,2023/24
Bipin Kumar (QAT),4,2,2,0,0*,-,0,-,0,0,0,0,0,2023
Bilawal Bhatti (PAK),2,1,1,13,13*,-,5,260.00,0,0,0,1,1,2015
Bilawal Bhatti (PAK),7,3,1,10,10,5.00,9,111.11,0,0,1,1,0,2013/14
Bilal Zalmai (Aut),6,6,2,218,71*,54.50,123,177.23,0,2,0,23,13,2024
Bilal Zalmai (Aut),5,4,1,208,111*,69.33,109,190.82,1,0,0,16,16,2019
Bilal Zalmai (Aut),3,3,0,51,28,17.00,39,130.76,0,0,0,7,0,2021
Bilal Tahir (KUW),14,8,3,205,40*,41.00,128,160.15,0,0,0,10,15,2024
Bilal Tahir (KUW),12,10,2,109,36,13.62,106,102.83,0,0,1,7,5,2023/24
Bilal Tahir (KUW),4,3,1,51,35*,25.50,34,150.00,0,0,0,2,5,2022/23
Bilal Tahir (KUW),4,4,2,24,13*,12.00,22,109.09,0,0,0,1,2,2021/22
Bilal Tahir (KUW),3,3,1,56,34*,28.00,43,130.23,0,0,1,8,1,2019/20
Bilal Tahir (KUW),4,4,0,24,13,6.00,21,114.28,0,0,1,1,1,2019
Bilal Tahir (KUW),5,5,1,62,25,15.50,39,158.97,0,0,1,3,6,2022
Bilal Safdar (NOR),4,4,1,24,15,8.00,44,54.54,0,0,0,2,0,2022
Bilal Safdar (NOR),5,4,1,49,37*,16.33,42,116.66,0,0,0,5,0,2021
Bilal Muhammad (MLT),5,3,2,61,35*,61.00,28,217.85,0,0,0,0,7,2021/22
Bilal Muhammad (MLT),13,9,0,57,19,6.33,61,93.44,0,0,2,5,3,2022
Bilal Muhammad (MLT),13,9,4,102,30*,20.40,65,156.92,0,0,1,7,4,2021
Bilal Masud (EST),11,11,5,267,66,44.50,228,117.10,0,1,0,19,8,2024
Bilal Masud (EST),2,2,0,89,82,44.50,44,202.27,0,1,0,5,7,2023
Bilal Khan (OMA),12,5,5,3,1*,-,7,42.85,0,0,0,0,0,2024
Bilal Khan (OMA),8,1,1,0,0*,-,1,0.00,0,0,0,0,0,2023/24
Bilal Khan (OMA),7,1,0,0,0,0.00,0,-,0,0,1,0,0,2022/23
Bilal Khan (OMA),11,6,3,6,4*,2.00,12,50.00,0,0,2,0,0,2021/22
Bilal Khan (OMA),16,5,5,10,6*,-,19,52.63,0,0,0,0,0,2019/20
Bilal Khan (OMA),3,2,0,4,4,2.00,6,66.66,0,0,1,0,0,2018/19
Bilal Khan (OMA),4,1,1,4,4*,-,2,200.00,0,0,0,1,0,2016/17
Bilal Khan (OMA),12,3,2,1,1*,1.00,3,33.33,0,0,1,0,0,2015/16
Bilal Khan (OMA),6,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2023
Bilal Hassun (UGA),1,1,0,8,8,8.00,16,50.00,0,0,0,1,0,2024
Bilal Hassun (UGA),14,5,2,50,18*,16.66,34,147.05,0,0,1,3,3,2023/24
Bilal Hassun (UGA),7,4,2,41,20*,20.50,26,157.69,0,0,1,3,3,2022/23
Bilal Hassun (UGA),6,-,-,-,-,-,-,-,-,-,-,-,-,2021/22
Bilal Hassun (UGA),10,3,1,19,14*,9.50,18,105.55,0,0,0,3,0,2023
Bilal Hassun (UGA),3,3,3,6,4*,-,9,66.66,0,0,0,0,0,2022
Bilal Hassun (UGA),5,2,0,1,1,0.50,2,50.00,0,0,1,0,0,2021
Bilal Ahmed (SRB),1,1,0,19,19,19.00,28,67.85,0,0,0,1,1,2019/20
Bilal Aftab (DEN),3,2,1,2,1*,2.00,3,66.66,0,0,0,0,0,2021/22
Ben Jones (EST),1,1,0,40,40,40.00,41,97.56,0,0,0,3,0,2023
Baz Aybui (SWE),6,2,1,3,2*,3.00,16,18.75,0,0,0,0,0,2022
Baz Aybui (SWE),4,1,1,5,5*,-,8,62.50,0,0,0,0,0,2021
Basiru Jaye (GMB),2,1,0,6,6,6.00,4,150.00,0,0,0,1,0,2024/25
Basir Ahamad (NEP),2,1,1,0,0*,-,1,0.00,0,0,0,0,0,2022
Basil Hameed (UAE),10,6,3,115,44*,38.33,63,182.53,0,0,0,8,7,2024
Basil Hameed (UAE),15,14,5,273,51,30.33,220,124.09,0,2,1,13,18,2023/24
Basil Hameed (UAE),6,5,1,34,25*,8.50,29,117.24,0,0,1,3,2,2022/23
Basil Hameed (UAE),12,12,3,120,39*,13.33,89,134.83,0,0,0,5,6,2021/22
Basil Hameed (UAE),4,3,0,37,23,12.33,33,112.12,0,0,0,2,1,2019/20
Basil Hameed (UAE),9,6,4,106,36*,53.00,96,110.41,0,0,0,6,4,2023
Basil Hameed (UAE),5,5,0,97,42,19.40,89,108.98,0,0,0,4,2,2022
Basil George (MLT),9,9,1,161,103*,20.12,149,108.05,1,0,2,10,8,2024
Basil George (MLT),5,5,0,60,41,12.00,54,111.11,0,0,0,6,2,2021/22
Basil George (MLT),3,3,0,39,18,13.00,26,150.00,0,0,0,1,4,2023
Basil George (MLT),13,13,1,383,93*,31.91,274,139.78,0,3,0,26,22,2022
Basil George (MLT),4,4,0,81,48,20.25,80,101.25,0,0,0,8,2,2021
Bashir Shah (DEN),5,2,1,1,1*,1.00,5,20.00,0,0,1,0,0,2021/22
Bashir Shah (DEN),4,2,2,2,1*,-,2,100.00,0,0,0,0,0,2019
Bashir Ahmad (SUI),1,1,0,5,5,5.00,4,125.00,0,0,0,1,0,2024
Bashar Khan (ITA),5,-,-,-,-,-,-,-,-,-,-,-,-,2022
Baseer Khan (Aut),9,5,2,20,9,6.66,23,86.95,0,0,0,1,0,2024
Baljit Singh (ITA),1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2021/22
Baljit Singh (ITA),8,3,0,4,3,1.33,16,25.00,0,0,1,0,0,2019
Baljit Singh (ITA),2,2,1,54,45,54.00,36,150.00,0,0,0,3,2,2022
Baljinder Singh (ROM),1,1,0,6,6,6.00,7,85.71,0,0,0,1,0,2023
Bakhtiar Tahiri (BUL),2,-,-,-,-,-,-,-,-,-,-,-,-,2022
Bakhtiar Tahiri (BUL),4,4,0,129,66,32.25,116,111.20,0,1,0,11,5,2020/21
Bakhtiar Tahiri (BUL),3,2,0,30,29,15.00,32,93.75,0,0,0,1,3,2020
Bakhtiar Tahiri (BUL),5,5,1,158,49,39.50,123,128.45,0,0,0,19,7,2021
Babar Hayat (HKG),17,14,0,437,83,31.21,343,127.40,0,2,1,23,30,2024
Babar Hayat (HKG),17,16,3,406,110,31.23,257,157.97,1,3,2,21,32,2023/24
Babar Hayat (HKG),4,4,0,22,7,5.50,32,68.75,0,0,0,0,1,2022/23
Babar Hayat (HKG),3,3,0,26,11,8.66,41,63.41,0,0,0,3,0,2016/17
Babar Hayat (HKG),1,1,0,49,49,49.00,31,158.06,0,0,0,2,2,2016
Babar Hayat (HKG),12,12,2,388,122,38.80,270,143.70,1,2,1,36,16,2015/16
Babar Hayat (HKG),4,4,2,52,20*,26.00,57,91.22,0,0,0,1,2,2015
Babar Hayat (HKG),1,1,0,0,0,0.00,2,0.00,0,0,1,0,0,2014/15
Babar Hayat (HKG),3,3,0,26,20,8.66,32,81.25,0,0,0,3,0,2013/14
Babar Hayat (HKG),7,7,1,246,62,41.00,179,137.43,0,1,0,15,18,2023
Babar Hayat (HKG),10,10,2,258,86,32.25,200,129.00,0,2,2,13,18,2022
Babar Azam (PAK),14,13,1,447,75,37.25,347,128.81,0,3,1,45,13,2024
Babar Azam (PAK),5,5,0,213,66,42.60,150,142.00,0,3,0,24,6,2023/24
Babar Azam (PAK),12,12,1,316,79*,28.72,288,109.72,0,3,1,43,0,2022/23
Babar Azam (PAK),13,13,1,482,79,40.16,388,124.22,0,6,1,47,9,2021/22
Babar Azam (PAK),6,5,0,182,82,36.40,118,154.23,0,2,1,23,3,2020/21
Babar Azam (PAK),3,2,0,77,56,38.50,62,124.19,0,1,0,10,0,2020
Babar Azam (PAK),8,8,2,224,66*,37.33,181,123.75,0,3,1,22,3,2019/20
Babar Azam (PAK),1,1,0,65,65,65.00,42,154.76,0,1,0,5,3,2019
Babar Azam (PAK),9,9,1,440,90,55.00,343,128.27,0,4,0,46,6,2018/19
Babar Azam (PAK),3,3,1,165,97*,82.50,111,148.64,0,2,0,22,1,2018
Babar Azam (PAK),9,9,2,324,86,46.28,249,130.12,0,2,0,29,4,2017/18
Babar Azam (PAK),4,4,0,137,43,34.25,132,103.78,0,0,0,11,2,2017
Babar Azam (PAK),3,3,2,101,55*,101.00,79,127.84,0,1,0,9,2,2016/17
Babar Azam (PAK),1,1,1,15,15*,-,11,136.36,0,0,0,2,0,2016
Babar Azam (PAK),5,4,1,130,101*,43.33,89,146.06,1,0,0,16,3,2023
Babar Azam (PAK),13,13,2,353,110*,32.09,262,134.73,1,1,1,34,8,2022
Babar Azam (PAK),14,11,0,474,122,43.09,359,132.03,1,4,0,52,9,2021
Babar Ali (BHR),3,1,1,1,1*,-,1,100.00,0,0,0,0,0,2018/19
BW Hilfenhaus (AUS),1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2012
BW Hilfenhaus (AUS),1,1,0,2,2,2.00,8,25.00,0,0,0,0,0,2009
BW Hilfenhaus (AUS),3,1,1,0,0*,-,1,0.00,0,0,0,0,0,2008/09
BW Hilfenhaus (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,2007/08
BW Hilfenhaus (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,2006/07
BV Vitori (ZIM),3,-,-,-,-,-,-,-,-,-,-,-,-,2015/16
BV Vitori (ZIM),2,-,-,-,-,-,-,-,-,-,-,-,-,2015
BV Vitori (ZIM),4,1,1,1,1*,-,3,33.33,0,0,0,0,0,2013
BV Vitori (ZIM),2,1,1,7,7*,-,4,175.00,0,0,0,0,0,2012/13
BV Sears (NZ),7,3,3,4,2*,-,8,50.00,0,0,0,0,0,2023/24
BV Sears (NZ),4,-,-,-,-,-,-,-,-,-,-,-,-,2022
BV Sears (NZ),2,-,-,-,-,-,-,-,-,-,-,-,-,2021
BV Sears (NZ),4,2,0,10,7,5.00,11,90.90,0,0,0,1,0,2024
BV Save (MAS),2,2,0,16,9,8.00,17,94.11,0,0,0,3,0,2019/20
BTJ Wheal (SCOT),6,2,1,13,8*,13.00,12,108.33,0,0,0,1,0,2024
BTJ Wheal (SCOT),3,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
BTJ Wheal (SCOT),9,3,2,3,2*,3.00,6,50.00,0,0,1,0,0,2021/22
BTJ Wheal (SCOT),3,1,1,0,0*,-,0,-,0,0,0,0,0,2016/17
BTJ Wheal (SCOT),2,1,1,2,2*,-,2,100.00,0,0,0,0,0,2015/16
BT Foakes (ENG),1,-,-,-,-,-,-,-,-,-,-,-,-,2019
BS Stephenson (Blz),6,6,1,75,69,15.00,67,111.94,0,1,1,6,4,2021/22
BS Stephenson (Blz),3,3,0,100,48,33.33,72,138.88,0,0,0,9,7,2019
BS Sandhu (SVN),1,1,0,2,2,2.00,5,40.00,0,0,0,0,0,2022
BRM Taylor (ZIM),3,3,0,31,20,10.33,30,103.33,0,0,0,4,0,2020/21
BRM Taylor (ZIM),2,2,1,60,59*,60.00,53,113.20,0,1,0,6,1,2019/20
BRM Taylor (ZIM),8,8,0,158,40,19.75,113,139.82,0,0,1,23,5,2019
BRM Taylor (ZIM),2,2,0,48,29,24.00,58,82.75,0,0,0,5,1,2018/19
BRM Taylor (ZIM),2,2,0,18,15,9.00,27,66.66,0,0,0,1,0,2017/18
BRM Taylor (ZIM),3,3,0,123,59,41.00,92,133.69,0,1,0,10,4,2013/14
BRM Taylor (ZIM),4,4,1,90,40,30.00,69,130.43,0,0,0,12,1,2013
BRM Taylor (ZIM),4,4,0,8,4,2.00,13,61.53,0,0,2,0,0,2012/13
BRM Taylor (ZIM),4,4,2,129,75*,64.50,100,129.00,0,2,0,11,3,2011/12
BRM Taylor (ZIM),2,2,0,20,10,10.00,18,111.11,0,0,0,1,1,2011
BRM Taylor (ZIM),2,2,0,59,59,29.50,44,134.09,0,1,1,4,3,2010/11
BRM Taylor (ZIM),3,3,1,53,27,26.50,53,100.00,0,0,0,5,1,2010
BRM Taylor (ZIM),1,1,0,0,0,0.00,3,0.00,0,0,1,0,0,2009/10
BRM Taylor (ZIM),2,2,1,107,60*,107.00,84,127.38,0,1,0,8,4,2007/08
BRM Taylor (ZIM),1,1,0,5,5,5.00,4,125.00,0,0,0,1,0,2006/07
BRM Taylor (ZIM),2,2,0,25,20,12.50,29,86.20,0,0,0,2,0,2021
BRF Constanzo (Chile),1,1,0,1,1,1.00,5,20.00,0,0,0,0,0,2023/24
BR McDermott (AUS),2,2,0,73,54,36.50,58,125.86,0,1,0,1,5,2023/24
BR McDermott (AUS),6,6,1,105,53,21.00,99,106.06,0,1,1,9,3,2021/22
BR McDermott (AUS),4,2,0,26,21,13.00,29,89.65,0,0,0,1,0,2019/20
BR McDermott (AUS),8,8,3,72,32*,14.40,76,94.73,0,0,2,5,2,2018/19
BR McDermott (AUS),5,5,0,66,35,13.20,81,81.48,0,0,0,1,3,2021
BR Dunk (AUS),2,2,0,60,32,30.00,35,171.42,0,0,0,5,5,2016/17
BR Dunk (AUS),3,3,0,39,23,13.00,34,114.70,0,0,0,3,1,2014/15
BP Adapaka (HUN),13,5,3,5,2,2.50,16,31.25,0,0,0,0,0,2022
BP Adapaka (HUN),4,2,1,1,1*,1.00,2,50.00,0,0,1,0,0,2023
BOP Fernando (SL),6,5,1,109,78*,27.25,87,125.28,0,1,0,11,3,2019/20
BOP Fernando (SL),1,1,0,19,19,19.00,27,70.37,0,0,0,0,1,2021
BN Toube (CAM),3,3,0,41,28,13.66,36,113.88,0,0,0,5,1,2023/24
BN Toube (CAM),7,6,0,143,49,23.83,133,107.51,0,0,1,15,6,2022/23
BN Toube (CAM),4,4,0,49,21,12.25,47,104.25,0,0,1,7,1,2021/22
BN Toube (CAM),5,5,1,76,44*,19.00,71,107.04,0,0,0,12,0,2024
BN Toube (CAM),3,3,0,47,17,15.66,76,61.84,0,0,0,5,1,2022
BN Cooper (NED),2,2,0,9,9,4.50,9,100.00,0,0,1,2,0,2021/22
BN Cooper (NED),10,10,1,311,65,34.55,266,116.91,0,2,1,30,6,2019/20
BN Cooper (NED),9,9,1,258,91*,32.25,177,145.76,0,2,0,20,13,2019
BN Cooper (NED),2,2,2,68,50*,-,55,123.63,0,1,0,6,1,2018/19
BN Cooper (NED),4,4,0,46,22,11.50,42,109.52,0,0,1,3,1,2018
BN Cooper (NED),3,3,0,46,24,15.33,36,127.77,0,0,1,6,2,2016/17
BN Cooper (NED),4,2,0,52,32,26.00,48,108.33,0,0,0,7,1,2015/16
BN Cooper (NED),8,8,1,223,66,31.85,175,127.42,0,2,1,16,11,2015
BN Cooper (NED),11,10,4,90,40,15.00,91,98.90,0,0,1,8,1,2013/14
BN Cooper (NED),5,5,2,136,55,45.33,94,144.68,0,2,1,20,2,2021
BMAJ Mendis (SL),6,3,1,10,6*,5.00,16,62.50,0,0,0,0,1,2017/18
BMAJ Mendis (SL),1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2013
BMAJ Mendis (SL),11,8,2,156,43*,26.00,119,131.09,0,0,0,14,5,2012/13
BMAJ Mendis (SL),1,1,0,11,11,11.00,15,73.33,0,0,0,0,0,2012
BMAJ Mendis (SL),3,2,1,30,29*,30.00,23,130.43,0,0,0,4,0,2011
BM Wheeler (NZ),2,2,1,31,30,31.00,22,140.90,0,0,0,2,2,2017/18
BM Wheeler (NZ),4,2,1,6,6,6.00,6,100.00,0,0,0,1,0,2016/17
BM Tickner (NZ),6,1,0,1,1,1.00,5,20.00,0,0,0,0,0,2022/23
BM Tickner (NZ),3,-,-,-,-,-,-,-,-,-,-,-,-,2022
BM Tickner (NZ),1,-,-,-,-,-,-,-,-,-,-,-,-,2020/21
BM Tickner (NZ),4,1,1,5,5*,-,6,83.33,0,0,0,0,0,2019/20
BM Tickner (NZ),1,-,-,-,-,-,-,-,-,-,-,-,-,2018/19
BM Tickner (NZ),1,-,-,-,-,-,-,-,-,-,-,-,-,2023
BM Tickner (NZ),2,2,1,5,3*,5.00,12,41.66,0,0,0,0,0,2021
BM Scholtz (NAM),15,4,4,22,7*,-,18,122.22,0,0,0,3,0,2023/24
BM Scholtz (NAM),3,1,1,1,1*,-,1,100.0,0,0,0,0,0,2022/23
BM Scholtz (NAM),10,2,1,6,6*,6.00,13,46.15,0,0,1,0,0,2021/22
BM Scholtz (NAM),3,-,-,-,-,-,-,-,-,-,-,-,-,2021
BM Scholtz (NAM),9,3,2,5,3*,5.00,10,50.00,0,0,1,0,0,2019/20
BM Scholtz (NAM),13,7,3,28,9,7.00,27,103.70,0,0,1,2,0,2024
BM Scholtz (NAM),8,3,3,11,6*,-,15,73.33,0,0,0,1,0,2022
BM Scholtz (NAM),5,1,1,0,0*,-,0,-,0,0,0,0,0,2019
BM Pecic (SRB),7,7,1,81,36,13.50,86,94.18,0,0,0,4,3,2024
BM Narasimha (Mex),1,-,-,-,-,-,-,-,-,-,-,-,-,2023/24
BM Duckett (ENG),1,1,0,14,14,14.00,12,116.66,0,0,0,1,0,2023/24
BM Duckett (ENG),3,3,0,59,28,19.66,52,113.46,0,0,0,7,0,2022/23
BM Duckett (ENG),7,7,2,233,70*,46.60,146,159.58,0,1,0,31,2,2022
BM Duckett (ENG),1,1,0,9,9,9.00,7,128.57,0,0,0,1,0,2019
BM Dlamini (SWZ),5,5,0,14,10,2.80,26,53.84,0,0,3,3,0,2022
BLCS Kumara (CYP),2,2,0,3,3,1.50,7,42.85,0,0,1,0,0,2021/22
BKG Mendis (SL),3,3,1,113,68*,56.50,91,124.17,0,1,0,8,5,2024/25
BKG Mendis (SL),9,9,0,284,86,31.55,195,145.64,0,2,0,28,14,2023/24
BKG Mendis (SL),14,14,1,434,79,33.38,289,150.17,0,4,0,37,24,2022/23
BKG Mendis (SL),3,3,1,100,69*,50.00,90,111.11,0,1,0,6,3,2021/22
BKG Mendis (SL),5,5,0,25,13,5.00,40,62.50,0,0,2,1,1,2019/20
BKG Mendis (SL),4,4,0,22,17,5.50,31,70.96,0,0,1,1,0,2018/19
BKG Mendis (SL),1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,2018
BKG Mendis (SL),6,6,0,257,70,42.83,157,163.69,0,4,0,23,13,2017/18
BKG Mendis (SL),5,5,0,26,14,5.20,24,108.33,0,0,0,3,0,2016/17
BKG Mendis (SL),3,3,0,48,22,16.00,36,133.33,0,0,0,3,3,2016
BKG Mendis (SL),6,6,0,173,46,28.83,146,118.49,0,0,0,20,1,2024
BKG Mendis (SL),9,9,0,198,60,22.00,148,133.78,0,2,2,13,10,2022
BKG Mendis (SL),3,3,0,54,39,18.00,55,98.18,0,0,0,3,2,2021
BKG Mendis (SL),2,2,0,105,79,52.50,77,136.36,0,1,0,10,4,2019
BKB Corbin (CAY),4,4,1,58,34,19.33,38,152.63,0,0,2,6,5,2023/24
BKB Corbin (CAY),3,3,0,37,15,12.33,30,123.33,0,0,0,6,1,2022/23
BK Stroud (STHEL),7,2,2,10,10*,-,19,52.63,0,0,0,0,0,2022/23
BJ Watling (NZ),2,1,0,1,1,1.00,2,50.00,0,0,0,0,0,2014
BJ Watling (NZ),1,1,0,8,8,8.00,11,72.72,0,0,0,1,0,2012/13
BJ Watling (NZ),2,2,0,29,22,14.50,45,64.44,0,0,0,2,0,2009/10
BJ Rohrer (AUS),1,1,0,16,16,16.00,14,114.28,0,0,0,0,1,2012/13
BJ McCarthy (IRE),5,3,1,8,6*,4.00,14,57.14,0,0,0,0,0,2023/24
BJ McCarthy (IRE),9,7,3,50,22*,12.50,41,121.95,0,0,0,2,3,2022/23
BJ McCarthy (IRE),4,3,1,16,15,8.00,8,200.00,0,0,1,2,1,2021/22
BJ McCarthy (IRE),4,3,1,18,18*,9.00,16,112.50,0,0,2,0,1,2019/20
BJ McCarthy (IRE),4,1,1,11,11*,-,6,183.33,0,0,0,0,1,2018
BJ McCarthy (IRE),2,2,0,0,0,0.00,1,0.00,0,0,2,0,0,2016/17
BJ McCarthy (IRE),7,4,2,5,2*,2.50,17,29.41,0,0,1,0,0,2024
BJ McCarthy (IRE),7,4,1,70,51*,23.33,47,148.93,0,1,1,5,5,2023
BJ McCarthy (IRE),9,5,1,59,32,14.75,48,122.91,0,0,0,5,3,2022
BJ McCarthy (IRE),5,3,2,47,30*,47.00,45,104.44,0,0,0,5,1,2021
BJ Hodge (AUS),7,6,2,89,35,22.25,67,132.83,0,0,0,4,4,2013/14
BJ Hodge (AUS),8,5,2,94,36,31.33,77,122.07,0,0,0,5,3,2007/08
BJ Haddin (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,2014/15
BJ Haddin (AUS),7,5,2,38,15*,12.66,30,126.66,0,0,0,3,1,2013/14
BJ Haddin (AUS),1,1,0,22,22,22.00,11,200.00,0,0,0,1,2,2012/13
BJ Haddin (AUS),2,2,0,7,7,3.50,10,70.00,0,0,1,0,0,2011
BJ Haddin (AUS),1,1,0,35,35,35.00,30,116.66,0,0,0,3,1,2010/11
BJ Haddin (AUS),7,7,0,98,42,14.00,96,102.08,0,0,0,10,2,2010
BJ Haddin (AUS),5,4,1,91,47,30.33,61,149.18,0,0,0,7,4,2009/10
BJ Haddin (AUS),3,3,0,64,24,21.33,63,101.58,0,0,0,4,2,2009
BJ Haddin (AUS),3,3,1,31,16*,15.50,26,119.23,0,0,1,2,1,2008/09
BJ Haddin (AUS),3,3,2,16,6,16.00,24,66.66,0,0,0,0,0,2007/08
BJ Haddin (AUS),1,-,-,-,-,-,-,-,-,-,-,-,-,2005/06
BJ Dwarshuis (AUS),2,2,0,1,1,0.50,3,33.33,0,0,1,0,0,2023/24
BJ Dwarshuis (AUS),1,1,1,0,0*,-,2,0.00,0,0,0,0,0,2021/22
BJ Diamanti (NZ),1,-,-,-,-,-,-,-,-,-,-,-,-,2009
BJ Davidson (SRB),4,4,0,27,18,6.75,46,58.69,0,0,1,4,0,2021
BJ Currie (SCOT),2,1,1,8,8*,-,15,53.33,0,0,0,0,0,2023/24
BJ Currie (SCOT),7,3,2,7,5,7.00,9,77.77,0,0,0,0,0,2024
BJ Currie (SCOT),6,-,-,-,-,-,-,-,-,-,-,-,-,2023
BJ Bennett (ZIM),5,5,0,185,91,37.00,91,203.29,0,2,1,22,9,2024/25
BJ Bennett (ZIM),10,10,1,206,70,22.88,156,132.05,0,1,1,19,11,2024
BJ Bennett (ZIM),6,6,1,92,29,18.40,64,143.75,0,0,1,12,2,2023/24
BI Dilruksha (SKOR),5,5,0,63,24,12.60,93,67.74,0,0,0,3,0,2024
BG Lister (NZ),4,1,1,0,0*,-,1,0.00,0,0,0,0,0,2022/23
BG Lister (NZ),2,1,0,1,1,1.00,2,50.0,0,0,0,0,0,2024
BG Lister (NZ),6,1,0,0,0,0.00,3,0.00,0,0,1,0,0,2023
BFW de Leede (NED),8,8,3,93,30*,18.60,117,79.48,0,0,1,7,1,2022/23
BFW de Leede (NED),3,2,0,7,7,3.50,14,50.00,0,0,1,1,0,2021/22
BFW de Leede (NED),4,3,0,50,30,16.66,55,90.90,0,0,0,1,2,2019
BFW de Leede (NED),4,4,1,48,33,16.00,59,81.35,0,0,0,3,0,2018
BFW de Leede (NED),7,7,2,87,32,17.40,95,91.57,0,0,1,7,0,2024
BFW de Leede (NED),7,7,3,289,91*,72.25,235,122.97,0,3,0,23,8,2022
BFW de Leede (NED),5,4,1,123,81*,41.00,96,128.12,0,1,1,10,7,2021
BF Mailata (Samoa),4,4,0,38,17,9.50,48,79.16,0,0,0,2,1,2019
BE Johnson (GUE),1,-,-,-,-,-,-,-,-,-,-,-,-,2022
BE Hendricks (SA),1,-,-,-,-,-,-,-,-,-,-,-,-,2020/21
BE Hendricks (SA),3,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2019/20
BE Hendricks (SA),3,1,0,3,3,3.00,6,50.00,0,0,0,0,0,2018/19
BE Hendricks (SA),2,-,-,-,-,-,-,-,-,-,-,-,-,2017/18
BE Hendricks (SA),5,2,1,15,12*,15.00,15,100.00,0,0,0,0,1,2013/14
BE Hendricks (SA),5,1,1,0,0*,-,1,0.00,0,0,0,0,0,2021
BDH Stevens (JER),9,9,0,163,39,18.11,168,97.02,0,0,1,14,4,2019/20
BDH Stevens (JER),8,8,1,153,44,21.85,147,104.08,0,0,0,16,2,2019
BDH Stevens (JER),3,3,0,11,6,3.66,20,55.00,0,0,0,0,0,2022
BD Glover (NED),3,-,-,-,-,-,-,-,-,-,-,-,-,2022/23
BD Glover (NED),2,2,0,0,0,0.00,3,0.00,0,0,2,0,0,2021/22
BD Glover (NED),12,2,1,0,0*,0.00,6,0.00,0,0,1,0,0,2019/20
BD Glover (NED),1,1,1,4,4*,-,1,400.0,0,0,0,1,0,2024
BD Glover (NED),7,2,2,2,1*,-,2,100.00,0,0,0,0,0,2019
BCJ Cutting (World),3,2,1,5,5,5.00,4,125.00,0,0,0,1,0,2017/18
BCJ Cutting (AUS),1,1,0,6,6,6.00,6,100.00,0,0,0,0,0,2014/15
BCJ Cutting (AUS),1,1,0,29,29,29.00,16,181.25,0,0,0,1,3,2013/14
BCJ Cutting (AUS),2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2012/13
BC Sahin (TKY),3,2,0,6,5,3.00,19,31.57,0,0,0,1,0,2023
BC Fortuin (SA),2,1,1,0,0*,-,0,-,0,0,0,0,0,2024/25
BC Fortuin (SA),2,2,0,8,8,4.00,11,72.72,0,0,1,1,0,2023/24
BC Fortuin (SA),2,2,1,4,4,4.00,3,133.33,0,0,0,1,0,2022/23
BC Fortuin (SA),2,2,1,27,17*,27.00,21,128.57,0,0,0,4,0,2020/21
BC Fortuin (SA),4,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,2019/20
BC Fortuin (SA),6,5,3,24,11*,12.00,26,92.3,0,0,1,3,0,2024
BC Fortuin (SA),7,2,0,13,8,6.50,10,130.00,0,0,0,2,0,2021
BBJL Perera (ITA),6,5,1,89,45,22.25,114,78.07,0,0,0,7,0,2021/22
BBJL Perera (ITA),4,4,1,70,23*,23.33,70,100.00,0,0,0,6,3,2022
BBJL Perera (ITA),8,7,1,208,67,34.66,144,144.44,0,1,0,23,8,2019
BB Sran (IND),2,-,-,-,-,-,-,-,-,-,-,-,-,2016
BB McCullum (NZ),1,1,0,35,35,35.00,15,233.33,0,0,0,2,4,2015
