Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
VS Solanki (ENG),2,2,0,67,43,33.50,56,119.64,0,0,0,9,1,2007/08
VS Solanki (ENG),1,1,0,9,9,9.00,5,180.00,0,0,0,1,0,2005
VS Padhaal (FIN),8,8,1,194,58,27.71,155,125.16,0,1,2,23,3,2024
VS Padhaal (FIN),5,5,0,43,18,8.60,64,67.18,0,0,0,3,0,2023
VS Padhaal (FIN),9,8,2,116,32*,19.33,115,100.86,0,0,0,5,5,2022
VS Padhaal (FIN),4,4,0,34,25,8.50,38,89.47,0,0,1,2,0,2021
VS Padhaal (FIN),5,5,0,31,14,6.20,44,70.45,0,0,0,4,0,2019
VRCF Poubel (BRA),3,3,2,9,5*,9.00,15,60.00,0,0,0,0,0,2019/20
VRB Arachchige (MLT),4,2,2,5,5*,-,3,166.66,0,0,0,1,0,2024
VR Iyer (IND),9,7,3,133,35*,33.25,82,162.19,0,0,0,15,5,2021/22
VP Thamotharam (MLT),5,5,0,134,50,26.80,96,139.58,0,1,0,10,8,2021/22
VP Thamotharam (MLT),2,2,1,29,24*,29.00,18,161.11,0,0,0,4,1,2020
VP Thamotharam (MLT),4,4,1,112,50*,37.33,76,147.36,0,1,0,5,9,2024
VP Thamotharam (MLT),20,18,2,375,62,23.43,270,138.88,0,2,0,28,20,2023
VP Thamotharam (MLT),11,11,2,274,57,30.44,162,169.13,0,3,1,15,23,2022
VP Thamotharam (MLT),13,13,2,285,104*,25.90,203,140.39,1,0,1,24,12,2021
VN Veetil (QAT),7,4,2,56,53,28.00,55,101.81,0,1,1,2,3,2022/23
VM Vaghela (USA),1,-,-,-,-,-,-,-,-,-,-,-,-,2021/22
VM Vaghela (USA),1,1,0,29,29,29.00,32,90.62,0,0,0,2,0,2022
VM Sachdev (PAN),2,2,1,23,12*,23.00,31,74.19,0,0,0,2,0,2019
VM Nyauchi (ZIM),2,1,1,1,1*,-,3,33.33,0,0,0,0,0,2022
VL Mukesh (SEY),3,2,0,12,9,6.00,10,120.00,0,0,0,2,0,2022/23
VL Mukesh (SEY),5,3,0,7,7,2.33,12,58.33,0,0,2,0,1,2021/22
VJ Kingma (NED),5,1,0,4,4,4.00,5,80.0,0,0,0,0,0,2023/24
VJ Kingma (NED),1,1,0,1,1,1.00,4,25.00,0,0,0,0,0,2015/16
VJ Kingma (NED),9,2,1,1,1*,1.00,2,50.00,0,0,1,0,0,2024
VJ Kingma (NED),5,1,0,4,4,4.00,9,44.44,0,0,0,0,0,2021
VJ Kingma (NED),3,1,1,0,0*,-,1,0.00,0,0,0,0,0,2019
VF Bomnyuy (CAM),5,3,2,4,4*,4.00,8,50.00,0,0,1,0,0,2024
VE Tembo (MOZ),5,5,0,70,26,14.00,65,107.69,0,0,1,3,5,2024/25
VE Tembo (MOZ),3,3,0,39,16,13.00,32,121.87,0,0,0,5,1,2023/24
VE Tembo (MOZ),3,3,1,23,12,11.50,23,100.0,0,0,0,0,1,2021/22
VE Tembo (MOZ),6,5,2,45,20*,15.00,52,86.53,0,0,0,2,0,2019/20
VE Tembo (MOZ),3,3,0,22,16,7.33,36,61.11,0,0,1,4,0,2023
VE Tembo (MOZ),6,3,1,40,27*,20.00,45,88.88,0,0,1,5,0,2022
VD Philander (SA),7,4,0,14,6,3.50,28,50.00,0,0,0,0,0,2007/08
VD Chandra (PAN),3,2,0,37,26,18.50,30,123.33,0,0,0,3,3,2019
VD Adewoye (NGA),5,5,1,70,41*,17.50,46,152.17,0,0,0,4,5,2024
VD Adewoye (NGA),6,6,0,29,12,4.83,42,69.04,0,0,1,2,1,2021
VD Adewoye (NGA),4,3,0,19,17,6.33,21,90.47,0,0,1,1,0,2019/20
VD Adewoye (NGA),3,3,2,28,23*,28.00,21,133.33,0,0,1,3,2,2019
VC Ahir (PAN),3,3,1,27,24,13.50,22,122.72,0,0,1,1,2,2022/23
VB van Jaarsveld (SA),3,3,0,15,12,5.00,23,65.21,0,0,1,0,0,2008/09
VB Chikkannaiah (GER),6,6,0,111,50,18.50,122,90.98,0,1,0,9,3,2021/22
VB Chikkannaiah (GER),2,2,0,51,51,25.50,45,113.33,0,1,1,2,2,2019/20
VB Chikkannaiah (GER),7,7,1,148,70*,24.66,167,88.62,0,1,0,10,2,2019
