match_id,flip,gender,Mat,Won,Lost,Tied,NR,W/L,Inns,HS,LS,AveRPW,AveRPO,Mat_team2,Won_team2,Lost_team2,Tied_team2,NR_team2,W/L_team2,Inns_team2,HS_team2,LS_team2,AveRPW_team2,AveRPO_team2
355996,0,1,6,2,3,0,1,0.6666666666666666,6,185,111.0,22.17,7.68,9,7,2,0,0,3.5,9,175,0.0,28.88,7.55
355996,1,1,9,7,2,0,0,3.5,9,175,0.0,28.88,7.55,6,2,3,0,1,0.6666666666666666,6,185,111.0,22.17,7.68
355997,0,1,3,0,3,0,0,0.0,3,155,0.0,16.4,6.83,5,1,4,0,0,0.25,5,138,115.0,16.31,6.66
355997,1,1,5,1,4,0,0,0.25,5,138,115.0,16.31,6.66,3,0,3,0,0,0.0,3,155,0.0,16.4,6.83
356000,0,1,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67
356000,1,1,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69
356001,0,1,5,2,3,0,0,0.6666666666666666,5,180,0.0,26.44,7.47,5,1,4,0,0,0.25,5,138,115.0,16.31,6.66
356001,1,1,5,1,4,0,0,0.25,5,138,115.0,16.31,6.66,5,2,3,0,0,0.6666666666666666,5,180,0.0,26.44,7.47
356003,0,1,5,1,4,0,0,0.25,5,138,115.0,16.31,6.66,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69
356003,1,1,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69,5,1,4,0,0,0.25,5,138,115.0,16.31,6.66
356004,0,1,6,2,3,0,1,0.6666666666666666,6,185,111.0,22.17,7.68,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67
356004,1,1,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67,6,2,3,0,1,0.6666666666666666,6,185,111.0,22.17,7.68
356006,0,1,5,2,3,0,0,0.6666666666666666,5,180,0.0,26.44,7.47,7,4,3,0,0,1.3333333333333333,7,177,101.0,24.25,8.26
356006,1,1,7,4,3,0,0,1.3333333333333333,7,177,101.0,24.25,8.26,5,2,3,0,0,0.6666666666666666,5,180,0.0,26.44,7.47
356007,0,1,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67,7,4,3,0,0,1.3333333333333333,7,177,101.0,24.25,8.26
356007,1,1,7,4,3,0,0,1.3333333333333333,7,177,101.0,24.25,8.26,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67
356008,0,1,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69,9,7,2,0,0,3.5,9,175,0.0,28.88,7.55
356008,1,1,9,7,2,0,0,3.5,9,175,0.0,28.88,7.55,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69
356010,0,1,6,2,3,0,1,0.6666666666666666,6,185,111.0,22.17,7.68,5,2,3,0,0,0.6666666666666666,5,180,0.0,26.44,7.47
356010,1,1,5,2,3,0,0,0.6666666666666666,5,180,0.0,26.44,7.47,6,2,3,0,1,0.6666666666666666,6,185,111.0,22.17,7.68
356011,0,1,6,2,3,0,1,0.6666666666666666,6,185,111.0,22.17,7.68,7,4,3,0,0,1.3333333333333333,7,177,101.0,24.25,8.26
356011,1,1,7,4,3,0,0,1.3333333333333333,7,177,101.0,24.25,8.26,6,2,3,0,1,0.6666666666666666,6,185,111.0,22.17,7.68
356012,0,1,5,1,4,0,0,0.25,5,138,115.0,16.31,6.66,9,7,2,0,0,3.5,9,175,0.0,28.88,7.55
356012,1,1,9,7,2,0,0,3.5,9,175,0.0,28.88,7.55,5,1,4,0,0,0.25,5,138,115.0,16.31,6.66
356014,0,1,5,2,3,0,0,0.6666666666666666,5,180,0.0,26.44,7.47,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67
356014,1,1,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67,5,2,3,0,0,0.6666666666666666,5,180,0.0,26.44,7.47
356015,0,1,9,7,2,0,0,3.5,9,175,0.0,28.88,7.55,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67
356015,1,1,6,5,1,0,0,5.0,6,211,0.0,28.37,7.67,9,7,2,0,0,3.5,9,175,0.0,28.88,7.55
361530,0,1,4,3,0,0,1,3.0,3,118,0.0,12.26,4.85,4,1,3,0,0,0.3333333333333333,4,134,67.0,11.73,5.3
361530,1,1,4,1,3,0,0,0.3333333333333333,4,134,67.0,11.73,5.3,4,3,0,0,1,3.0,3,118,0.0,12.26,4.85
361531,0,1,4,2,1,0,1,2.0,3,153,97.0,18.0,6.35,4,2,2,0,0,1.0,4,117,117.0,20.52,5.68
361531,1,1,4,2,2,0,0,1.0,4,117,117.0,20.52,5.68,4,2,1,0,1,2.0,3,153,97.0,18.0,6.35
361656,0,1,4,3,1,0,0,3.0,4,141,0.0,21.66,6.59,5,3,2,0,0,1.5,5,171,0.0,23.36,7.37
361656,1,1,5,3,2,0,0,1.5,5,171,0.0,23.36,7.37,4,3,1,0,0,3.0,4,141,0.0,21.66,6.59
