Player,Season,Mat,Inns,Batting Runs,SR,Ave,Country,Cum batting Ave,Cum battings Runs Total,Cum Inns Total,Cum SR,player_id
A Limdawala,2024,10,7.0,158.0,102.59,39.5,Malawi,25.01,249.0,16.0,62.59,2bcbcac3
A Limdawala,2024/25,5,5.0,48.0,66.66,9.6,Malawi,21.34,297.0,21.0,63.27,2bcbcac3
A Magdalenic,2023,6,5.0,9.0,25.71,1.8,Croatia,1.8,9.0,5.0,25.71,d6a2f3a5
A Magdalenic,2024,3,3.0,7.0,36.84,3.5,Croatia,2.44,16.0,8.0,31.28,d6a2f3a5
A Maheshwari,2022,3,3.0,3.0,33.33,1.0,Croatia,1.0,3.0,3.0,33.33,3ec513ea
A Maheshwari,2023,2,2.0,6.0,37.5,3.0,Croatia,1.8,9.0,5.0,35.42,3ec513ea
A Maheshwari,2024,7,5.0,31.0,77.5,6.2,Croatia,4.0,40.0,10.0,49.44,3ec513ea
A Manatos,2021,1,0.0,0.0,0.0,0.0,Greece,0.0,0.0,0.0,0.0,eebc0141
A Manepalli,2020,2,2.0,14.0,107.69,7.0,Luxembourg,7.0,14.0,2.0,107.69,36101309
A Manepalli,2021,4,3.0,25.0,92.59,12.5,Luxembourg,10.3,39.0,5.0,100.14,36101309
A Manepalli,2022,1,1.0,6.0,66.66,6.0,Luxembourg,9.58,45.0,6.0,88.98,36101309
A Manepalli,2024,1,1.0,9.0,100.0,9.0,Luxembourg,9.5,54.0,7.0,91.74,36101309
A Manousis,2019/20,3,3.0,52.0,106.12,26.0,Greece,26.0,52.0,3.0,106.12,b672e825
A Manousis,2021,4,4.0,55.0,137.5,18.33,Greece,21.62,107.0,7.0,121.81,b672e825
A Manousis,2022,4,4.0,11.0,91.66,2.75,Greece,14.76,118.0,11.0,111.76,b672e825
A Mansale,2018/19,4,4.0,31.0,100.0,7.75,Vanuatu,7.75,31.0,4.0,100.0,a22b4f3f
A Mansale,2019,5,5.0,67.0,115.51,13.4,Vanuatu,10.89,98.0,9.0,107.76,a22b4f3f
A Mansale,2019/20,5,5.0,61.0,98.38,12.2,Vanuatu,11.36,159.0,14.0,104.63,a22b4f3f
A Mansale,2022,6,5.0,193.0,128.66,96.5,Vanuatu,33.76,352.0,19.0,110.64,a22b4f3f
A Mansale,2022/23,1,1.0,3.0,150.0,3.0,Vanuatu,32.23,355.0,20.0,118.51,a22b4f3f
A Mansale,2023,6,6.0,86.0,91.48,14.33,Vanuatu,28.1,441.0,26.0,114.01,a22b4f3f
