Player,Mat,Inns,Dis,Ct,St,D/I,Season,Country,Country_right,player_id
R Shepherd,11,11.0,4.0,4.0,0.0,0.2857142857142857,2021/22,WI,West Indies,c5aef772
R Shepherd,6,6.0,4.0,4.0,0.0,0.2,2022,WI,West Indies,c5aef772
R Shepherd,3,3.0,6.0,6.0,0.0,0.2608695652173913,2022/23,WI,West Indies,c5aef772
R Shepherd,5,5.0,7.0,7.0,0.0,0.25,2023,WI,West Indies,c5aef772
R Shepherd,4,4.0,7.0,7.0,0.0,0.21875,2023/24,WI,West Indies,c5aef772
R Shepherd,8,8.0,7.0,7.0,0.0,0.175,2024,WI,West Indies,c5aef772
R Shepherd,3,3.0,7.0,7.0,0.0,0.16279069767441862,2024/25,WI,West Indies,c5aef772
R Sheshadri,4,4.0,1.0,1.0,0.0,0.25,2024,SGP,Singapore,d4aa2ddb
R Siriwardena,9,9.0,2.0,2.0,0.0,0.2222222222222222,2024,CYP,Cyprus,c3ba4942
R Tanna,1,1.0,0.0,0.0,0.0,0.0,2022,EST,Estonia,ae8ee4cc
R Tari,4,4.0,1.0,1.0,0.0,0.25,2018/19,VAN,Vanuatu,c4d19735
R Tari,5,5.0,5.0,5.0,0.0,0.5555555555555556,2019,VAN,Vanuatu,c4d19735
R Tari,5,5.0,7.0,7.0,0.0,0.5,2019/20,VAN,Vanuatu,c4d19735
R Tari,6,6.0,9.0,9.0,0.0,0.45,2022,VAN,Vanuatu,c4d19735
R Tari,3,3.0,12.0,12.0,0.0,0.5217391304347826,2022/23,VAN,Vanuatu,c4d19735
R Tari,6,6.0,14.0,14.0,0.0,0.4827586206896552,2023,VAN,Vanuatu,c4d19735
R Tari,4,4.0,15.0,15.0,0.0,0.45454545454545453,2023/24,VAN,Vanuatu,c4d19735
R Tari,5,5.0,17.0,17.0,0.0,0.4473684210526316,2024,VAN,Vanuatu,c4d19735
R Thapliyal,2,2.0,0.0,0.0,0.0,0.0,2023,Belg,Belgium,5947220c
R Thapliyal,4,4.0,0.0,0.0,0.0,0.0,2024,Belg,Belgium,5947220c
R Theruvath,1,1.0,0.0,0.0,0.0,0.0,2023/24,QAT,Qatar,eb6d1f4d
R Theruvath,1,1.0,0.0,0.0,0.0,0.0,2024,QAT,Qatar,eb6d1f4d
R Trumpelmann,10,10.0,1.0,1.0,0.0,0.1,2021/22,NAM,Namibia,ff6a7ab5
R Trumpelmann,8,8.0,3.0,3.0,0.0,0.16666666666666666,2022,NAM,Namibia,ff6a7ab5
R Trumpelmann,1,1.0,4.0,4.0,0.0,0.21052631578947367,2022/23,NAM,Namibia,ff6a7ab5
R Trumpelmann,4,3.0,4.0,4.0,0.0,0.18181818181818182,2023/24,NAM,Namibia,ff6a7ab5
R Trumpelmann,9,9.0,8.0,8.0,0.0,0.25806451612903225,2024,NAM,Namibia,ff6a7ab5
R Vishwanath,2,2.0,0.0,0.0,0.0,0.0,2019,LUX,Luxembourg,02fa5417
R Vishwanath,3,3.0,0.0,0.0,0.0,0.0,2021,LUX,Luxembourg,02fa5417
R Vishwanath,1,1.0,0.0,0.0,0.0,0.0,2023,LUX,Luxembourg,02fa5417
RA Abolarin,1,1.0,0.0,0.0,0.0,0.0,2019,NGA,Nigeria,ed524599
RA Abolarin,3,3.0,1.0,1.0,0.0,0.25,2021,NGA,Nigeria,ed524599
RA Abolarin,6,6.0,2.0,2.0,0.0,0.2,2021/22,NGA,Nigeria,ed524599
RA Jadeja,15,15.0,7.0,7.0,0.0,0.4666666666666667,2015/16,IND,India,fe93fd9d
RA Jadeja,2,2.0,7.0,7.0,0.0,0.4117647058823529,2016,IND,India,fe93fd9d
RA Jadeja,1,1.0,7.0,7.0,0.0,0.3888888888888889,2017,IND,India,fe93fd9d
RA Jadeja,2,2.0,7.0,7.0,0.0,0.35,2019,IND,India,fe93fd9d
RA Jadeja,7,7.0,10.0,10.0,0.0,0.37037037037037035,2019/20,IND,India,fe93fd9d
RA Jadeja,1,1.0,10.0,10.0,0.0,0.35714285714285715,2020/21,IND,India,fe93fd9d
RA Jadeja,8,8.0,11.0,11.0,0.0,0.3055555555555556,2021/22,IND,India,fe93fd9d
RA Jadeja,6,6.0,13.0,13.0,0.0,0.30952380952380953,2022,IND,India,fe93fd9d
RA Jadeja,2,2.0,14.0,14.0,0.0,0.3181818181818182,2023/24,IND,India,fe93fd9d
RA Jadeja,8,8.0,17.0,17.0,0.0,0.3269230769230769,2024,IND,India,fe93fd9d
RA Reifer,3,3.0,0.0,0.0,0.0,0.0,2022/23,WI,West Indies,d7725664
RA Sealy,5,5.0,5.0,5.0,0.0,1.0,2022,CAY,Cayman Islands,1e98804a
RA Sealy,4,4.0,10.0,9.0,1.0,1.1111111111111112,2022/23,CAY,Cayman Islands,1e98804a
RA Sealy,4,4.0,11.0,10.0,1.0,0.8461538461538461,2023/24,CAY,Cayman Islands,1e98804a
RA Thomas,5,5.0,0.0,0.0,0.0,0.0,2019,CAN,Canada,6db7068e
RA Thomas,3,3.0,2.0,2.0,0.0,0.25,2019/20,CAN,Canada,6db7068e
RA Tripathi,5,5.0,3.0,3.0,0.0,0.6,2022/23,IND,India,77255a9e
RAJ Smith,2,2.0,0.0,0.0,0.0,0.0,2018/19,SCOT,Scotland,6daf5e8c
RAS Lakmal,2,2.0,1.0,1.0,0.0,0.5,2015/16,SL,Sri Lanka,2f28dc94
RAS Lakmal,2,2.0,1.0,1.0,0.0,0.25,2016,SL,Sri Lanka,2f28dc94
RAS Lakmal,1,1.0,2.0,2.0,0.0,0.4,2016/17,SL,Sri Lanka,2f28dc94
RAS Lakmal,1,1.0,2.0,2.0,0.0,0.3333333333333333,2017/18,SL,Sri Lanka,2f28dc94
RAS Lakmal,1,1.0,2.0,2.0,0.0,0.2857142857142857,2018/19,SL,Sri Lanka,2f28dc94
RB Patel,3,2.0,1.0,1.0,0.0,0.5,2020,BUL,Uganda,f88dc8de
RB Patel,4,4.0,3.0,3.0,0.0,0.5,2020/21,BUL,Uganda,f88dc8de
RB Patel,3,3.0,3.0,3.0,0.0,0.3333333333333333,2021,BUL,Uganda,f88dc8de
RB Patel,9,8.0,1.0,1.0,0.0,0.125,2021,UGA,Uganda,f88dc8de
RB Patel,10,10.0,3.0,3.0,0.0,0.16666666666666666,2021/22,UGA,Uganda,f88dc8de
RB Patel,5,5.0,4.0,4.0,0.0,0.17391304347826086,2022,UGA,Uganda,f88dc8de
RB Patel,8,8.0,4.0,4.0,0.0,0.12903225806451613,2023,UGA,Uganda,f88dc8de
RB Patel,8,8.0,6.0,6.0,0.0,0.15384615384615385,2023/24,UGA,Uganda,f88dc8de
RB Patel,2,2.0,6.0,6.0,0.0,0.14634146341463414,2024,UGA,Uganda,f88dc8de
RD Atangana,6,6.0,1.0,1.0,0.0,0.16666666666666666,2022/23,CAM,Cameroon,490f475a
RD Atangana,3,3.0,1.0,1.0,0.0,0.1111111111111111,2023/24,CAM,Cameroon,490f475a
RD Atangana,5,5.0,1.0,1.0,0.0,0.07142857142857142,2024,CAM,Cameroon,490f475a
RD Berrington,8,6.0,0.0,0.0,0.0,0.0,2015,SCOT,Scotland,e21bc7f3
RD Berrington,7,7.0,0.0,0.0,0.0,0.0,2015/16,SCOT,Scotland,e21bc7f3
RD Berrington,4,4.0,0.0,0.0,0.0,0.0,2016/17,SCOT,Scotland,e21bc7f3
RD Berrington,6,6.0,2.0,2.0,0.0,0.08695652173913043,2018,SCOT,Scotland,e21bc7f3
RD Berrington,3,3.0,2.0,2.0,0.0,0.07692307692307693,2018/19,SCOT,Scotland,e21bc7f3
RD Berrington,4,4.0,3.0,3.0,0.0,0.1,2019,SCOT,Scotland,e21bc7f3
RD Berrington,8,8.0,4.0,4.0,0.0,0.10526315789473684,2019/20,SCOT,Scotland,e21bc7f3
RD Berrington,3,3.0,4.0,4.0,0.0,0.0975609756097561,2021,SCOT,Scotland,e21bc7f3
RD Berrington,10,10.0,7.0,7.0,0.0,0.13725490196078433,2021/22,SCOT,Scotland,e21bc7f3
RD Berrington,2,2.0,7.0,7.0,0.0,0.1320754716981132,2022,SCOT,Scotland,e21bc7f3
RD Berrington,3,3.0,7.0,7.0,0.0,0.125,2022/23,SCOT,Scotland,e21bc7f3
RD Berrington,6,6.0,15.0,15.0,0.0,0.24193548387096775,2023,SCOT,Scotland,e21bc7f3
RD Berrington,2,2.0,15.0,15.0,0.0,0.234375,2023/24,SCOT,Scotland,e21bc7f3
RD Berrington,10,9.0,17.0,17.0,0.0,0.2328767123287671,2024,SCOT,Scotland,e21bc7f3
RD Chahar,1,1.0,0.0,0.0,0.0,0.0,2019,IND,India,2ed569a0
RD Chahar,2,2.0,0.0,0.0,0.0,0.0,2020/21,IND,India,2ed569a0
RD Chahar,2,2.0,3.0,3.0,0.0,0.6,2021,IND,India,2ed569a0
RD Chahar,1,1.0,3.0,3.0,0.0,0.5,2021/22,IND,India,2ed569a0
RD Gaikwad,2,2.0,1.0,1.0,0.0,0.5,2021,IND,India,45a43fe2
RD Gaikwad,1,1.0,1.0,1.0,0.0,0.3333333333333333,2021/22,IND,India,45a43fe2
RD Gaikwad,6,5.0,5.0,5.0,0.0,0.625,2022,IND,India,45a43fe2
RD Gaikwad,5,5.0,8.0,8.0,0.0,0.6153846153846154,2023,IND,India,45a43fe2
RD Gaikwad,5,5.0,10.0,10.0,0.0,0.5555555555555556,2023/24,IND,India,45a43fe2
RD Gaikwad,4,4.0,11.0,11.0,0.0,0.5,2024,IND,India,45a43fe2
RD Rickelton,6,6.0,4.0,4.0,0.0,0.6666666666666666,2024,SA,South Africa,e66732f8
RD Rickelton,2,2.0,6.0,6.0,0.0,0.75,2024/25,SA,South Africa,e66732f8
RDB Ahir,4,4.0,2.0,2.0,0.0,0.5,2022/23,PAN,Panama,2f6f44bb
RDB Ahir,4,4.0,3.0,3.0,0.0,0.375,2023/24,PAN,Panama,2f6f44bb
RE van der Merwe,5,5.0,4.0,4.0,0.0,0.8,2015,NED,Netherlands,05c2ca46
RE van der Merwe,5,5.0,4.0,4.0,0.0,0.8,2015,NED,South Africa,05c2ca46
RE van der Merwe,3,2.0,5.0,5.0,0.0,0.7142857142857143,2015/16,NED,Netherlands,05c2ca46
RE van der Merwe,3,2.0,5.0,5.0,0.0,0.7142857142857143,2015/16,NED,South Africa,05c2ca46
RE van der Merwe,3,3.0,6.0,6.0,0.0,0.6,2016/17,NED,Netherlands,05c2ca46
RE van der Merwe,3,3.0,6.0,6.0,0.0,0.6,2016/17,NED,South Africa,05c2ca46
RE van der Merwe,1,1.0,7.0,7.0,0.0,0.6363636363636364,2018,NED,Netherlands,05c2ca46
RE van der Merwe,1,1.0,7.0,7.0,0.0,0.6363636363636364,2018,NED,South Africa,05c2ca46
RE van der Merwe,3,3.0,7.0,7.0,0.0,0.5,2018/19,NED,Netherlands,05c2ca46
RE van der Merwe,3,3.0,7.0,7.0,0.0,0.5,2018/19,NED,South Africa,05c2ca46
RE van der Merwe,2,2.0,9.0,9.0,0.0,0.5625,2019,NED,Netherlands,05c2ca46
RE van der Merwe,2,2.0,9.0,9.0,0.0,0.5625,2019,NED,South Africa,05c2ca46
RE van der Merwe,13,13.0,13.0,13.0,0.0,0.4482758620689655,2019/20,NED,Netherlands,05c2ca46
RE van der Merwe,13,13.0,13.0,13.0,0.0,0.4482758620689655,2019/20,NED,South Africa,05c2ca46
RE van der Merwe,3,3.0,14.0,14.0,0.0,0.4375,2021/22,NED,Netherlands,05c2ca46
RE van der Merwe,3,3.0,14.0,14.0,0.0,0.4375,2021/22,NED,South Africa,05c2ca46
RE van der Merwe,6,6.0,16.0,16.0,0.0,0.42105263157894735,2022/23,NED,Netherlands,05c2ca46
RE van der Merwe,6,6.0,16.0,16.0,0.0,0.42105263157894735,2022/23,NED,South Africa,05c2ca46
RE van der Merwe,5,5.0,17.0,17.0,0.0,0.3953488372093023,2023/24,NED,Netherlands,05c2ca46
