player_id,Player,Mat,SR,Overs,Wkts,Econ,D/I
e3c88145,IK Darmawan,3,73.52,0.0,0.0,0.0,0.333
44744467,VL Mukesh,8,86.36,14.0,2.0,8.64,0.0
fde53ec1,Adil Butt,15,136.89,9.0,4.0,6.11,0.428
e4f13acd,A Mene-Ejegi,13,155.07,37.4,11.0,6.92,0.384
87609cbb,Naveed Ahmed,38,85.32,102.0,33.0,7.0,0.21
e086735b,Umair Qasim,21,78.62,65.3,19.0,6.8,0.4
03ecfde2,Shoaib Khan,28,105.86,0.0,0.0,0.0,0.0
fbb657bb,Babar Hayat,79,132.27,0.0,0.0,0.0,0.576
d08fe309,TG Thamae,16,70.27,37.0,15.0,7.59,0.312
ac1ddea1,Garret Banner,7,104.41,22.0,5.0,7.36,0.142
3b4a8cfb,Amjad Sher,33,133.46,118.0,35.0,6.37,0.424
018f6488,M Gouws,13,141.37,26.2,5.0,9.15,0.076
24c1844e,S Chaudhary,7,40.0,16.4,7.0,7.92,0.142
780d1997,RK Kiseto,13,38.09,42.0,11.0,6.88,0.384
7f048519,DJ Willey,43,130.63,144.1,51.0,8.18,0.395
7f87204d,SP Terry,1,66.66,0.0,0.0,0.0,1.0
babc65d3,Parveen Kumar,8,84.37,26.0,8.0,5.19,0.0
7f2cb055,MS Graham,6,52.63,17.0,2.0,6.94,0.166
4353bba5,YA Abdulla,2,0.0,7.0,2.0,6.28,0.0
16dfcc19,Umar Gul,60,105.76,200.3,85.0,7.19,0.3
f8dcfe4e,JK Mukhiya,10,50.0,26.0,10.0,6.46,0.3
917f0c3f,A Trivedi,1,0.0,1.0,0.0,15.0,0.0
3a7ea906,VJ Kingma,23,47.61,78.5,23.0,7.75,0.086
c74c583b,R Bakum,42,115.92,49.5,21.0,7.2,0.357
4393e047,R Nehonde,39,95.76,53.5,19.0,7.2,0.394
f98c24ec,DK Anefie,36,108.37,82.0,20.0,5.85,0.361
31f01815,CB Roposo,16,45.83,42.5,22.0,5.92,0.062
60bec5c3,Muhammad Amir,50,104.96,78.0,32.0,6.56,0.46
e6b3c3cc,Parveen Kumar,8,84.37,26.0,8.0,5.19,0.285
5038c022,Asad Mahmood,15,102.85,0.0,0.0,0.0,0.066
afe8ff08,M Aboagye,14,70.21,32.0,9.0,6.68,0.071
5592153b,Kamran Wahid,3,0.0,6.0,2.0,10.0,0.0
1f490b28,AR Puri,29,55.0,88.0,21.0,7.56,0.241
d96165b5,D Myers,17,136.45,6.0,0.0,13.66,0.176
6b64e7a3,J Mulder,8,54.54,29.0,12.0,6.62,0.25
eea27fb2,CA Liyanage,4,0.0,5.0,1.0,9.4,0.0
2e89652e,H Bharadwaj,12,16.66,45.0,18.0,5.2,0.166
f915844b,Tarun Sharma,5,109.19,1.0,0.0,14.0,1.0
7fc8bb18,M Faheem,7,42.85,20.0,8.0,6.65,0.142
a64e3b89,SK Atai,18,106.66,15.0,3.0,7.33,0.333
c520c3b9,Syed Naqvi,4,43.75,0.0,0.0,0.0,0.5
83d17bbc,MW Forde,5,66.66,15.3,8.0,10.38,0.6
3daaabaa,Ahmed Wardak,13,89.18,31.5,14.0,6.65,0.076
f88dc8de,RB Patel,42,103.33,21.0,7.0,7.9,0.333
c62a0327,N Krishna,17,70.23,38.4,15.0,8.79,0.25
5b616bf0,LA Burns,28,111.81,101.4,45.0,5.76,0.25
80b92515,Harry Johnson,9,100.0,33.3,12.0,8.26,0.111
b8f10b60,HJ Jordaan,8,79.04,0.0,0.0,0.0,0.125
f310704c,Shiraz Khan,53,98.74,172.4,45.0,6.31,0.339
