team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
Canada,United States of America,male,2024,2024/04/13,Prairie View Cricket Complex,Houston,Canada,bat,United States of America,1425125
Zimbabwe,Bangladesh,male,2024,2024/05/03,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,field,Bangladesh,1425126
Zimbabwe,Bangladesh,male,2024,2024/05/05,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh,field,Bangladesh,1425127
Bangladesh,Zimbabwe,male,2024,2024/05/07,"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Zimbabwe,field,Bangladesh,1425128
Bangladesh,Zimbabwe,male,2024,2024/05/10,"Shere Bangla National Stadium, Mirpur",Dhaka,Zimbabwe,field,Bangladesh,1425129
Bangladesh,Zimbabwe,male,2024,2024/05/12,"Shere Bangla National Stadium, Mirpur",Dhaka,Zimbabwe,field,Zimbabwe,1425130
Bangladesh,United States of America,male,2024,2024/05/21,Prairie View Cricket Complex,Houston,United States of America,field,United States of America,1425131
United States of America,Bangladesh,male,2024,2024/05/23,Prairie View Cricket Complex,Houston,Bangladesh,field,United States of America,1425132
United States of America,Bangladesh,male,2024,2024/05/25,Prairie View Cricket Complex,Houston,Bangladesh,field,Bangladesh,1425133
Sri Lanka,Thailand,female,2024,2024/04/25,"Tolerance Oval, Abu Dhabi",Abu Dhabi,Sri Lanka,bat,Sri Lanka,1425638
United Arab Emirates,Ireland,female,2024,2024/04/25,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Ireland,field,Ireland,1425639
Scotland,Uganda,female,2024,2024/04/25,"Tolerance Oval, Abu Dhabi",Abu Dhabi,Uganda,field,Scotland,1425640
Zimbabwe,Vanuatu,female,2024,2024/04/25,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Zimbabwe,bat,Vanuatu,1425641
Netherlands,Vanuatu,female,2024,2024/04/27,"Tolerance Oval, Abu Dhabi",Abu Dhabi,Netherlands,bat,Netherlands,1425642
United States of America,Uganda,female,2024,2024/04/27,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,United States of America,bat,Uganda,1425643
United Arab Emirates,Zimbabwe,female,2024,2024/04/27,"Tolerance Oval, Abu Dhabi",Abu Dhabi,United Arab Emirates,bat,Zimbabwe,1425644
Scotland,Sri Lanka,female,2024,2024/04/27,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Sri Lanka,field,Sri Lanka,1425645
Scotland,United States of America,female,2024,2024/04/29,"Tolerance Oval, Abu Dhabi",Abu Dhabi,United States of America,field,Scotland,1425646
Ireland,Zimbabwe,female,2024,2024/04/29,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Zimbabwe,field,Ireland,1425647
Uganda,Thailand,female,2024,2024/04/29,"Tolerance Oval, Abu Dhabi",Abu Dhabi,Thailand,field,Thailand,1425648
Netherlands,United Arab Emirates,female,2024,2024/04/29,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Netherlands,bat,United Arab Emirates,1425649
Netherlands,Zimbabwe,female,2024,2024/05/01,"Tolerance Oval, Abu Dhabi",Abu Dhabi,Netherlands,bat,Netherlands,1425650
Sri Lanka,Uganda,female,2024,2024/05/01,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Sri Lanka,bat,Sri Lanka,1425651
Vanuatu,Ireland,female,2024,2024/05/01,"Tolerance Oval, Abu Dhabi",Abu Dhabi,Ireland,field,Ireland,1425652
United States of America,Thailand,female,2024,2024/05/01,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Thailand,field,Thailand,1425653
Thailand,Scotland,female,2024,2024/05/03,"Tolerance Oval, Abu Dhabi",Abu Dhabi,Thailand,bat,Scotland,1425654
United Arab Emirates,Vanuatu,female,2024,2024/05/03,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Vanuatu,field,United Arab Emirates,1425655
Sri Lanka,United States of America,female,2024,2024/05/03,"Tolerance Oval, Abu Dhabi",Abu Dhabi,Sri Lanka,bat,Sri Lanka,1425656
Ireland,Netherlands,female,2024,2024/05/03,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Ireland,bat,Ireland,1425657
Ireland,Scotland,female,2024,2024/05/05,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Ireland,bat,Scotland,1425658
Sri Lanka,United Arab Emirates,female,2024,2024/05/05,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,United Arab Emirates,field,Sri Lanka,1425659
Sri Lanka,Scotland,female,2024,2024/05/07,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,Scotland,field,Sri Lanka,1425660
Papua New Guinea,Zimbabwe,female,2023/24,2024/03/30,Harare Sports Club,Harare,Zimbabwe,field,Zimbabwe,1426048
Zimbabwe,Papua New Guinea,female,2023/24,2024/04/02,Harare Sports Club,Harare,Papua New Guinea,field,Zimbabwe,1426050
West Indies,Pakistan,female,2024,2024/04/26,"National Stadium, Karachi",Karachi,West Indies,bat,West Indies,1426084
Pakistan,West Indies,female,2024,2024/04/28,"National Stadium, Karachi",Karachi,Pakistan,bat,West Indies,1426085
West Indies,Pakistan,female,2024,2024/04/30,"National Stadium, Karachi",Karachi,Pakistan,field,West Indies,1426086
West Indies,Pakistan,female,2024,2024/05/02,"National Stadium, Karachi",Karachi,West Indies,bat,Pakistan,1426087
Pakistan,West Indies,female,2024,2024/05/03,"National Stadium, Karachi",Karachi,West Indies,field,West Indies,1426088
Oman,Namibia,male,2024,2024/04/01,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Namibia,field,Namibia,1426450
Oman,Namibia,male,2024,2024/04/02,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,bat,Oman,1426451
Namibia,Oman,male,2024,2024/04/04,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Oman,1426452
Namibia,Oman,male,2024,2024/04/05,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Namibia,1426453
Namibia,Oman,male,2024,2024/04/07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Namibia,bat,Namibia,1426454
Oman,Bahrain,male,2024,2024/04/12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,field,Oman,1426455
Kuwait,United Arab Emirates,male,2024,2024/04/12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,United Arab Emirates,field,United Arab Emirates,1426456
Malaysia,Nepal,male,2024,2024/04/12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Malaysia,bat,Nepal,1426457
Hong Kong,Qatar,male,2024,2024/04/12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Hong Kong,bat,Hong Kong,1426458
Cambodia,Kuwait,male,2024,2024/04/13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Cambodia,bat,Kuwait,1426459
United Arab Emirates,Bahrain,male,2024,2024/04/13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Bahrain,field,United Arab Emirates,1426460
Nepal,Qatar,male,2024,2024/04/13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,bat,Nepal,1426461
Malaysia,Saudi Arabia,male,2024,2024/04/13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Malaysia,bat,Malaysia,1426462
Oman,Cambodia,male,2024,2024/04/14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Cambodia,field,Oman,1426463
Saudi Arabia,Hong Kong,male,2024,2024/04/14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Saudi Arabia,bat,Saudi Arabia,1426464
Hong Kong,Nepal,male,2024,2024/04/15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,field,Nepal,1426465
Malaysia,Qatar,male,2024,2024/04/15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Qatar,field,Qatar,1426466
United Arab Emirates,Oman,male,2024,2024/04/15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Oman,1426467
Kuwait,Bahrain,male,2024,2024/04/15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Bahrain,field,Kuwait,1426468
Qatar,Saudi Arabia,male,2024,2024/04/16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Saudi Arabia,field,Qatar,1426469
Cambodia,Bahrain,male,2024,2024/04/16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Cambodia,bat,Bahrain,1426470
Malaysia,Hong Kong,male,2024,2024/04/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Hong Kong,field,Hong Kong,1426471
Saudi Arabia,Nepal,male,2024,2024/04/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Nepal,field,Nepal,1426472
Cambodia,United Arab Emirates,male,2024,2024/04/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Cambodia,bat,United Arab Emirates,1426473
Oman,Kuwait,male,2024,2024/04/17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Kuwait,field,Oman,1426474
Nepal,United Arab Emirates,male,2024,2024/04/19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,field,United Arab Emirates,1426475
Hong Kong,Oman,male,2024,2024/04/19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Oman,1426476
Nepal,Hong Kong,male,2024,2024/04/20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,bat,Hong Kong,1426477
United Arab Emirates,Oman,male,2024,2024/04/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,United Arab Emirates,1426478
Jersey,Spain,male,2024,2024/04/14,La Manga Club Top Ground,Murcia,Spain,field,Spain,1426479
Jersey,Spain,male,2024,2024/04/14,La Manga Club Top Ground,Murcia,Jersey,bat,Spain,1426480
New Zealand,Australia,female,2024,2024/09/19,"Great Barrier Reef Arena, Mackay",Mackay,New Zealand,bat,Australia,1426617
Australia,New Zealand,female,2024,2024/09/22,"Great Barrier Reef Arena, Mackay",Mackay,Australia,bat,Australia,1426618
New Zealand,Australia,female,2024,2024/09/24,"Allan Border Field, Brisbane",Brisbane,New Zealand,bat,Australia,1426619
United Arab Emirates,Nepal,female,2024,2024/07/19,Rangiri Dambulla International Stadium,Dambulla,Nepal,field,Nepal,1426756
Pakistan,India,female,2024,2024/07/19,Rangiri Dambulla International Stadium,Dambulla,Pakistan,bat,India,1426757
Thailand,Malaysia,female,2024,2024/07/20,Rangiri Dambulla International Stadium,Dambulla,Thailand,bat,Thailand,1426758
Bangladesh,Sri Lanka,female,2024,2024/07/20,Rangiri Dambulla International Stadium,Dambulla,Bangladesh,bat,Sri Lanka,1426759
India,United Arab Emirates,female,2024,2024/07/21,Rangiri Dambulla International Stadium,Dambulla,United Arab Emirates,field,India,1426760
Nepal,Pakistan,female,2024,2024/07/21,Rangiri Dambulla International Stadium,Dambulla,Pakistan,field,Pakistan,1426761
Sri Lanka,Malaysia,female,2024,2024/07/22,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,bat,Sri Lanka,1426762
Thailand,Bangladesh,female,2024,2024/07/22,Rangiri Dambulla International Stadium,Dambulla,Thailand,bat,Bangladesh,1426763
United Arab Emirates,Pakistan,female,2024,2024/07/23,Rangiri Dambulla International Stadium,Dambulla,Pakistan,field,Pakistan,1426764
India,Nepal,female,2024,2024/07/23,Rangiri Dambulla International Stadium,Dambulla,India,bat,India,1426765
Bangladesh,Malaysia,female,2024,2024/07/24,Rangiri Dambulla International Stadium,Dambulla,Bangladesh,bat,Bangladesh,1426766
Thailand,Sri Lanka,female,2024,2024/07/24,Rangiri Dambulla International Stadium,Dambulla,Thailand,bat,Sri Lanka,1426767
Bangladesh,India,female,2024,2024/07/26,Rangiri Dambulla International Stadium,Dambulla,Bangladesh,bat,India,1426768
Pakistan,Sri Lanka,female,2024,2024/07/26,Rangiri Dambulla International Stadium,Dambulla,Sri Lanka,field,Sri Lanka,1426769
India,Sri Lanka,female,2024,2024/07/28,Rangiri Dambulla International Stadium,Dambulla,India,bat,Sri Lanka,1426770
Pakistan,Ireland,male,2024,2024/05/10,"Castle Avenue, Dublin",Dublin,Ireland,field,Ireland,1426830
Ireland,Pakistan,male,2024,2024/05/12,"Castle Avenue, Dublin",Dublin,Pakistan,field,Pakistan,1426831
Ireland,Pakistan,male,2024,2024/05/14,"Castle Avenue, Dublin",Dublin,Pakistan,field,Pakistan,1426832
Gibraltar,Estonia,female,2024,2024/04/20,Europa Sports Complex,Gibraltar,Estonia,field,Gibraltar,1427420
Gibraltar,Estonia,female,2024,2024/04/21,Europa Sports Complex,Gibraltar,Estonia,field,Gibraltar,1427421
Gibraltar,Estonia,female,2024,2024/04/21,Europa Sports Complex,Gibraltar,Gibraltar,bat,Gibraltar,1427422
Netherlands,Scotland,male,2024,2024/05/18,"Sportpark Westvliet, The Hague",The Hague,Scotland,field,Netherlands,1428151
Ireland,Netherlands,male,2024,2024/05/19,"Sportpark Westvliet, The Hague",The Hague,Netherlands,field,Ireland,1428152
Scotland,Netherlands,male,2024,2024/05/22,"Sportpark Westvliet, The Hague",The Hague,Netherlands,field,Scotland,1428154
Scotland,Ireland,male,2024,2024/05/23,"Sportpark Westvliet, The Hague",The Hague,Scotland,bat,Ireland,1428155
Ireland,Netherlands,male,2024,2024/05/24,"Sportpark Westvliet, The Hague",The Hague,Netherlands,field,Ireland,1428156
Mexico,Costa Rica,male,2024,2024/04/12,Los Reyes Polo Club,Guacima,Costa Rica,field,Mexico,1428743
Mexico,Costa Rica,male,2024,2024/04/12,Los Reyes Polo Club,Guacima,Mexico,bat,Mexico,1428744
Costa Rica,Mexico,male,2024,2024/04/13,Los Reyes Polo Club,Guacima,Costa Rica,bat,Costa Rica,1428745
Mexico,Costa Rica,male,2024,2024/04/14,Los Reyes Polo Club,Guacima,Mexico,bat,Mexico,1428746
Thailand,Ireland,female,2024,2024/04/18,"7he Sevens Stadium, Dubai",Dubai,Thailand,bat,Ireland,1429008
Indonesia,Mongolia,female,2024,2024/04/21,Udayana Cricket Ground,Bali,Mongolia,field,Indonesia,1429009
Indonesia,Mongolia,female,2024,2024/04/21,Udayana Cricket Ground,Bali,Indonesia,bat,Indonesia,1429010
Mongolia,Indonesia,female,2024,2024/04/22,Udayana Cricket Ground,Bali,Mongolia,bat,Indonesia,1429011
Indonesia,Mongolia,female,2024,2024/04/22,Udayana Cricket Ground,Bali,Indonesia,bat,Indonesia,1429012
Indonesia,Mongolia,female,2024,2024/04/24,Udayana Cricket Ground,Bali,Indonesia,bat,Indonesia,1429013
Mongolia,Indonesia,female,2024,2024/04/24,Udayana Cricket Ground,Bali,Mongolia,bat,Indonesia,1429014
India,Bangladesh,female,2024,2024/04/28,Sylhet International Cricket Stadium,Sylhet,India,bat,India,1429393
Bangladesh,India,female,2024,2024/04/30,Sylhet International Cricket Stadium,Sylhet,Bangladesh,bat,India,1429394
Bangladesh,India,female,2024,2024/05/02,Sylhet International Cricket Stadium,Sylhet,India,field,India,1429395
India,Bangladesh,female,2024,2024/05/06,Sylhet International Cricket Stadium,Sylhet,Bangladesh,field,India,1429396
India,Bangladesh,female,2024,2024/05/09,Sylhet International Cricket Stadium,Sylhet,India,bat,India,1429397
Botswana,Lesotho,female,2024,2024/04/22,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Botswana,bat,Botswana,1429622
Mozambique,Rwanda,female,2024,2024/04/22,"Botswana Cricket Association Oval 2, Gaborone",Gaborone,Mozambique,bat,Rwanda,1429623
Lesotho,Rwanda,female,2024,2024/04/22,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Lesotho,bat,Rwanda,1429624
Mozambique,Botswana,female,2024,2024/04/22,"Botswana Cricket Association Oval 2, Gaborone",Gaborone,Mozambique,bat,Botswana,1429625
Botswana,Rwanda,female,2024,2024/04/23,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Botswana,bat,Rwanda,1429626
Mozambique,Lesotho,female,2024,2024/04/23,"Botswana Cricket Association Oval 2, Gaborone",Gaborone,Lesotho,field,Mozambique,1429627
Mozambique,Botswana,female,2024,2024/04/23,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Mozambique,bat,Botswana,1429628
Mozambique,Rwanda,female,2024,2024/04/25,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Mozambique,bat,Rwanda,1429630
Botswana,Lesotho,female,2024,2024/04/25,"Botswana Cricket Association Oval 2, Gaborone",Gaborone,Botswana,bat,Botswana,1429631
Botswana,Rwanda,female,2024,2024/04/25,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Rwanda,field,Rwanda,1429632
Mozambique,Lesotho,female,2024,2024/04/26,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Mozambique,bat,Mozambique,1429634
Botswana,Rwanda,female,2024,2024/04/26,"Botswana Cricket Association Oval 1, Gaborone",Gaborone,Rwanda,field,Rwanda,1429635
Ireland,Sri Lanka,female,2024,2024/08/11,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Sri Lanka,field,Sri Lanka,1430812
Ireland,Sri Lanka,female,2024,2024/08/13,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Ireland,bat,Ireland,1430813
England,Ireland,female,2024,2024/09/14,"Castle Avenue, Dublin",Dublin,Ireland,field,England,1430820
England,Ireland,female,2024,2024/09/15,"Castle Avenue, Dublin",Dublin,Ireland,field,Ireland,1430821
Ireland,South Africa,male,2024/25,2024/09/27,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,South Africa,field,South Africa,1431086
Japan,Mongolia,male,2024,2024/05/07,Sano International Cricket Ground,Sano,Japan,bat,Japan,1431120
Japan,Mongolia,male,2024,2024/05/08,Sano International Cricket Ground,Sano,Japan,bat,Japan,1431121
Mongolia,Japan,male,2024,2024/05/10,Sano International Cricket Ground,Sano,Mongolia,bat,Japan,1431123
Japan,Mongolia,male,2024,2024/05/11,Sano International Cricket Ground,Sano,Japan,bat,Japan,1431124
Japan,Mongolia,male,2024,2024/05/11,Sano International Cricket Ground,Sano,Japan,bat,Japan,1431125
Japan,Mongolia,male,2024,2024/05/12,Sano International Cricket Ground,Sano,Japan,bat,Japan,1431126
Thailand,Indonesia,male,2024,2024/05/01,Udayana Cricket Ground,Bali,Indonesia,field,Thailand,1431607
Thailand,Indonesia,male,2024,2024/05/02,Udayana Cricket Ground,Bali,Thailand,bat,Indonesia,1431608
Indonesia,Thailand,male,2024,2024/05/04,Udayana Cricket Ground,Bali,Thailand,field,Indonesia,1431609
Thailand,Indonesia,male,2024,2024/05/05,Udayana Cricket Ground,Bali,Indonesia,field,Thailand,1431610
Indonesia,Thailand,male,2024,2024/05/06,Udayana Cricket Ground,Bali,Indonesia,bat,Thailand,1431611
France,Malta,male,2024,2024/05/09,Dreux Sport Cricket Club,Dreux,France,bat,France,1432194
France,Malta,male,2024,2024/05/09,Dreux Sport Cricket Club,Dreux,France,bat,France,1432195
Belgium,Malta,male,2024,2024/05/10,Dreux Sport Cricket Club,Dreux,Belgium,bat,Belgium,1432197
Malta,Belgium,male,2024,2024/05/11,Dreux Sport Cricket Club,Dreux,Malta,bat,Belgium,1432198
Belgium,France,male,2024,2024/05/11,Dreux Sport Cricket Club,Dreux,Belgium,bat,France,1432199
France,Belgium,male,2024,2024/05/12,Dreux Sport Cricket Club,Dreux,France,bat,Belgium,1432200
West Indies,South Africa,male,2024,2024/05/23,"Sabina Park, Kingston, Jamaica",Kingston,South Africa,field,West Indies,1433362
West Indies,South Africa,male,2024,2024/05/25,"Sabina Park, Kingston, Jamaica",Kingston,West Indies,bat,West Indies,1433363
South Africa,West Indies,male,2024,2024/05/26,"Sabina Park, Kingston, Jamaica",Kingston,South Africa,bat,West Indies,1433364
South Africa,West Indies,male,2024,2024/08/23,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,field,West Indies,1433367
West Indies,South Africa,male,2024,2024/08/25,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,South Africa,field,West Indies,1433368
South Africa,West Indies,male,2024,2024/08/27,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,field,West Indies,1433369
Netherlands,Italy,female,2024,2024/05/28,"Sportpark Harga, Schiedam",Schiedam,Netherlands,bat,Netherlands,1433772
Italy,Netherlands,female,2024,2024/05/30,"Sportpark Harga, Schiedam",Schiedam,Italy,bat,Netherlands,1433775
Bulgaria,Gibraltar,male,2024,2024/05/24,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Gibraltar,field,Gibraltar,1434155
Bulgaria,Romania,male,2024,2024/05/24,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Bulgaria,bat,Romania,1434157
Romania,Gibraltar,male,2024,2024/05/25,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Romania,bat,Gibraltar,1434160
Romania,Bulgaria,male,2024,2024/05/26,"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Bulgaria,field,Romania,1434161
South Africa,India,female,2024,2024/07/05,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,field,South Africa,1434291
South Africa,India,female,2024,2024/07/09,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,field,India,1434293
Rwanda,Cameroon,female,2024,2024/05/30,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,bat,Rwanda,1435618
Uganda,Botswana,female,2024,2024/05/30,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,Uganda,1435620
Kenya,Nigeria,female,2024,2024/06/02,"Gahanga B Ground, Rwanda",Kigali City,Nigeria,field,Kenya,1435621
Uganda,Nigeria,female,2024,2024/05/31,"Gahanga B Ground, Rwanda",Kigali City,Nigeria,field,Uganda,1435623
Botswana,Cameroon,female,2024,2024/05/31,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Botswana,bat,Botswana,1435624
Malawi,Rwanda,female,2024,2024/05/31,"Gahanga B Ground, Rwanda",Kigali City,Malawi,bat,Rwanda,1435625
Rwanda,Botswana,female,2024,2024/06/01,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Rwanda,bat,Rwanda,1435626
Kenya,Malawi,female,2024,2024/06/01,"Gahanga B Ground, Rwanda",Kigali City,Kenya,bat,Kenya,1435627
Cameroon,Nigeria,female,2024,2024/06/01,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Cameroon,bat,Nigeria,1435628
Uganda,Malawi,female,2024,2024/06/03,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,Uganda,1435630
Botswana,Nigeria,female,2024,2024/06/03,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Botswana,bat,Nigeria,1435632
Rwanda,Kenya,female,2024,2024/06/03,"Gahanga B Ground, Rwanda",Kigali City,Kenya,field,Rwanda,1435633
Nigeria,Rwanda,female,2024,2024/06/04,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Nigeria,bat,Nigeria,1435634
Kenya,Uganda,female,2024,2024/06/04,"Gahanga B Ground, Rwanda",Kigali City,Kenya,bat,Uganda,1435635
Cameroon,Malawi,female,2024,2024/06/04,"Gahanga B Ground, Rwanda",Kigali City,Cameroon,bat,Malawi,1435637
Cameroon,Kenya,female,2024,2024/06/05,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Cameroon,bat,Kenya,1435638
Botswana,Malawi,female,2024,2024/06/05,"Gahanga B Ground, Rwanda",Kigali City,Malawi,field,Botswana,1435639
Uganda,Rwanda,female,2024,2024/06/05,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Uganda,bat,Uganda,1435640
Uganda,Cameroon,female,2024,2024/06/07,Gahanga International Cricket Stadium. Rwanda,Kigali City,Uganda,bat,Uganda,1435643
Nigeria,Malawi,female,2024,2024/06/07,"Gahanga B Ground, Rwanda",Kigali City,Malawi,field,Nigeria,1435644
Kenya,Botswana,female,2024,2024/06/07,"Gahanga B Ground, Rwanda",Kigali City,Kenya,bat,Kenya,1435645
Cameroon,Malawi,female,2024,2024/06/08,"Gahanga B Ground, Rwanda",Kigali City,Cameroon,bat,Malawi,1435646
Kenya,Botswana,female,2024,2024/06/08,"Gahanga International Cricket Stadium, Rwanda",Kigali City,Botswana,field,Kenya,1435647
Nigeria,Rwanda,female,2024,2024/06/08,"Gahanga B Ground, Rwanda",Kigali City,Nigeria,bat,Rwanda,1435648
Italy,Luxembourg,male,2024,2024/06/09,Roma Cricket Ground,Spinaceto,Luxembourg,field,Italy,1436471
Portugal,Hungary,male,2024,2024/06/09,"Simar Cricket Ground, Rome",Rome,Hungary,field,Portugal,1436472
France,Isle of Man,male,2024,2024/06/09,Roma Cricket Ground,Spinaceto,Isle of Man,field,France,1436473
Austria,Romania,male,2024,2024/06/09,"Simar Cricket Ground, Rome",Rome,Austria,bat,Romania,1436474
Israel,Austria,male,2024,2024/06/10,Roma Cricket Ground,Spinaceto,Israel,bat,Austria,1436475
Isle of Man,Turkey,male,2024,2024/06/10,"Simar Cricket Ground, Rome",Rome,Turkey,field,Isle of Man,1436476
Portugal,Romania,male,2024,2024/06/10,Roma Cricket Ground,Spinaceto,Portugal,bat,Romania,1436477
France,Italy,male,2024,2024/06/10,"Simar Cricket Ground, Rome",Rome,Italy,field,Italy,1436478
Isle of Man,Italy,male,2024,2024/06/12,Roma Cricket Ground,Spinaceto,Isle of Man,bat,Italy,1436479
Portugal,Austria,male,2024,2024/06/12,"Simar Cricket Ground, Rome",Rome,Portugal,bat,Austria,1436480
Luxembourg,Turkey,male,2024,2024/06/12,Roma Cricket Ground,Spinaceto,Turkey,field,Luxembourg,1436481
Israel,Hungary,male,2024,2024/06/12,"Simar Cricket Ground, Rome",Rome,Israel,bat,Hungary,1436482
Hungary,Romania,male,2024,2024/06/13,Roma Cricket Ground,Spinaceto,Romania,field,Romania,1436483
France,Luxembourg,male,2024,2024/06/13,"Simar Cricket Ground, Rome",Rome,France,bat,France,1436484
Portugal,Israel,male,2024,2024/06/13,Roma Cricket Ground,Spinaceto,Portugal,bat,Israel,1436485
Turkey,Italy,male,2024,2024/06/13,"Simar Cricket Ground, Rome",Rome,Turkey,bat,Italy,1436486
Isle of Man,Luxembourg,male,2024,2024/06/15,Roma Cricket Ground,Spinaceto,Isle of Man,bat,Isle of Man,1436487
Austria,Hungary,male,2024,2024/06/15,"Simar Cricket Ground, Rome",Rome,Hungary,field,Austria,1436488
France,Turkey,male,2024,2024/06/15,Roma Cricket Ground,Spinaceto,Turkey,field,France,1436489
Romania,Israel,male,2024,2024/06/15,"Simar Cricket Ground, Rome",Rome,Israel,field,Romania,1436490
Luxembourg,Israel,male,2024,2024/06/16,Roma Cricket Ground,Spinaceto,Luxembourg,bat,Israel,1436491
France,Austria,male,2024,2024/06/16,"Simar Cricket Ground, Rome",Rome,Austria,field,Austria,1436492
Portugal,Isle of Man,male,2024,2024/06/16,Roma Cricket Ground,Spinaceto,Portugal,bat,Portugal,1436493
Italy,Romania,male,2024,2024/06/16,"Simar Cricket Ground, Rome",Rome,Romania,field,Italy,1436494
West Indies,Sri Lanka,female,2024,2024/06/24,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota",Hambantota,Sri Lanka,field,Sri Lanka,1436889
