team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
Sri Lanka,Pakistan,female,2017/18,2018/03/28,Sinhalese Sports Club Ground,Colombo,Pakistan,field,Pakistan,1138202
Pakistan,Sri Lanka,female,2017/18,2018/03/30,Nondescripts Cricket Club Ground,Colombo,Pakistan,bat,Sri Lanka,1138203
Pakistan,West Indies,male,2018,2018/04/01,National Stadium,Karachi,West Indies,field,Pakistan,1140069
Pakistan,West Indies,male,2018,2018/04/02,National Stadium,Karachi,Pakistan,bat,Pakistan,1140070
West Indies,Pakistan,male,2018,2018/04/03,National Stadium,Karachi,West Indies,bat,Pakistan,1140071
England,Sri Lanka,male,2018/19,2018/10/27,"R.Premadasa Stadium, Khettarama",Colombo,Sri Lanka,field,England,1140384
India,Ireland,male,2018,2018/06/27,"The Village, Malahide",Dublin,Ireland,field,India,1140992
India,Ireland,male,2018,2018/06/29,"The Village, Malahide",Dublin,Ireland,field,India,1140993
West Indies,ICC World XI,male,2018,2018/05/31,Lord's,London,ICC World XI,field,West Indies,1141232
Netherlands,Ireland,male,2018,2018/06/12,Hazelaarweg,Rotterdam,Ireland,field,Netherlands,1142501
Ireland,Netherlands,male,2018,2018/06/13,Hazelaarweg,Rotterdam,Ireland,bat,Netherlands,1142502
Ireland,Scotland,male,2018,2018/06/16,Sportpark Het Schootsveld,Deventer,Ireland,bat,Ireland,1142503
Netherlands,Scotland,male,2018,2018/06/19,VRA Ground,Amstelveen,Netherlands,bat,Scotland,1142505
Scotland,Netherlands,male,2018,2018/06/20,VRA Ground,Amstelveen,Scotland,bat,Scotland,1142506
South Africa,Sri Lanka,male,2018,2018/08/14,"R.Premadasa Stadium, Khettarama",Colombo,South Africa,bat,Sri Lanka,1142589
Pakistan,Zimbabwe,male,2018,2018/07/01,Harare Sports Club,,Zimbabwe,field,Pakistan,1142913
Pakistan,Australia,male,2018,2018/07/02,Harare Sports Club,,Australia,field,Australia,1142914
Australia,Zimbabwe,male,2018,2018/07/03,Harare Sports Club,,Zimbabwe,field,Australia,1142915
Zimbabwe,Pakistan,male,2018,2018/07/04,Harare Sports Club,,Pakistan,field,Pakistan,1142916
Pakistan,Australia,male,2018,2018/07/05,Harare Sports Club,,Australia,field,Pakistan,1142917
Zimbabwe,Australia,male,2018,2018/07/06,Harare Sports Club,,Zimbabwe,bat,Australia,1142918
Australia,Pakistan,male,2018,2018/07/08,Harare Sports Club,,Australia,bat,Pakistan,1142919
South Africa,Zimbabwe,male,2018/19,2018/10/09,Buffalo Park,East London,South Africa,bat,South Africa,1144149
Zimbabwe,South Africa,male,2018/19,2018/10/12,Senwes Park,Potchefstroom,Zimbabwe,bat,South Africa,1144150
South Africa,Pakistan,male,2018/19,2019/02/01,Newlands,Cape Town,Pakistan,field,South Africa,1144161
South Africa,Pakistan,male,2018/19,2019/02/03,The Wanderers Stadium,Johannesburg,Pakistan,field,South Africa,1144162
South Africa,Pakistan,male,2018/19,2019/02/06,SuperSport Park,Centurion,South Africa,field,Pakistan,1144163
South Africa,Sri Lanka,male,2018/19,2019/03/22,SuperSport Park,Centurion,Sri Lanka,field,South Africa,1144173
South Africa,Sri Lanka,male,2018/19,2019/03/24,The Wanderers Stadium,Johannesburg,Sri Lanka,field,South Africa,1144174
South Africa,Bangladesh,female,2018,2018/05/19,Mangaung Oval,Bloemfontein,Bangladesh,field,South Africa,1144441
South Africa,Bangladesh,female,2018,2018/05/20,Mangaung Oval,Bloemfontein,Bangladesh,field,South Africa,1144442
New Zealand,Australia,female,2018/19,2018/09/29,North Sydney Oval,Sydney,Australia,field,Australia,1144978
New Zealand,Australia,female,2018/19,2018/10/01,Allan Border Field,Brisbane,Australia,field,Australia,1144979
New Zealand,Australia,female,2018/19,2018/10/05,Manuka Oval,Canberra,Australia,field,Australia,1144980
South Africa,Australia,male,2018/19,2018/11/17,Carrara Oval,,Australia,field,South Africa,1144989
Australia,India,male,2018/19,2018/11/21,"Brisbane Cricket Ground, Woolloongabba",Brisbane,India,field,Australia,1144990
Australia,India,male,2018/19,2018/11/25,Sydney Cricket Ground,,Australia,bat,India,1144992
Ireland,New Zealand,female,2018,2018/06/06,YMCA Cricket Club,Dublin,Ireland,bat,New Zealand,1145890
Ireland,Bangladesh,female,2018,2018/06/28,YMCA Cricket Club,Dublin,Bangladesh,field,Bangladesh,1145894
Ireland,Bangladesh,female,2018,2018/06/29,"The Village, Malahide, Dublin",Dublin,Ireland,bat,Bangladesh,1145895
Bangladesh,Ireland,female,2018,2018/07/01,"Pembroke Cricket Club, Sandymount",Dublin,Ireland,field,Ireland,1145896
Afghanistan,Bangladesh,male,2018,2018/06/03,"Rajiv Gandhi International Cricket Stadium, Dehradun",Dehra Dun,Bangladesh,field,Afghanistan,1145982
Bangladesh,Afghanistan,male,2018,2018/06/05,Rajiv Gandhi International Cricket Stadium,Dehradun,Bangladesh,bat,Afghanistan,1145983
Afghanistan,Bangladesh,male,2018,2018/06/07,Rajiv Gandhi International Cricket Stadium,Dehradun,Afghanistan,bat,Afghanistan,1145984
Bangladesh,West Indies,male,2018,2018/07/31,"Warner Park, Basseterre",St Kitts,West Indies,field,West Indies,1146723
Bangladesh,West Indies,male,2018,2018/08/04,Central Broward Regional Park Stadium Turf Ground,Lauderhill,West Indies,field,Bangladesh,1146724
Bangladesh,West Indies,male,2018,2018/08/05,Central Broward Regional Park Stadium Turf Ground,Lauderhill,Bangladesh,bat,Bangladesh,1146725
Thailand,Ireland,female,2018,2018/07/07,Sportpark Maarschalkerweerd,Utrecht,Ireland,field,Ireland,1147717
Uganda,Scotland,female,2018,2018/07/07,VRA Ground,Amstelveen,Scotland,field,Scotland,1147718
Netherlands,United Arab Emirates,female,2018,2018/07/07,Sportpark Maarschalkerweerd,Utrecht,Netherlands,bat,United Arab Emirates,1147719
Papua New Guinea,Bangladesh,female,2018,2018/07/07,VRA Ground,Amstelveen,Bangladesh,field,Bangladesh,1147720
Scotland,Ireland,female,2018,2018/07/08,VRA Ground,Amstelveen,Ireland,field,Ireland,1147722
Netherlands,Bangladesh,female,2018,2018/07/08,Sportpark Maarschalkerweerd,Utrecht,Bangladesh,field,Bangladesh,1147723
United Arab Emirates,Papua New Guinea,female,2018,2018/07/08,VRA Ground,Amstelveen,United Arab Emirates,bat,Papua New Guinea,1147724
Scotland,Thailand,female,2018,2018/07/10,Sportpark Maarschalkerweerd,Utrecht,Scotland,bat,Scotland,1147725
Uganda,Ireland,female,2018,2018/07/10,VRA Ground,Amstelveen,Ireland,field,Ireland,1147726
United Arab Emirates,Bangladesh,female,2018,2018/07/10,Sportpark Maarschalkerweerd,Utrecht,Bangladesh,field,Bangladesh,1147727
Papua New Guinea,Netherlands,female,2018,2018/07/10,VRA Ground,Amstelveen,Netherlands,field,Papua New Guinea,1147728
Ireland,Papua New Guinea,female,2018,2018/07/12,VRA Ground,Amstelveen,Papua New Guinea,field,Ireland,1147729
Netherlands,Uganda,female,2018,2018/07/12,Sportpark Maarschalkerweerd,Utrecht,Netherlands,bat,Uganda,1147730
Bangladesh,Scotland,female,2018,2018/07/12,VRA Ground,Amstelveen,Scotland,field,Bangladesh,1147731
United Arab Emirates,Thailand,female,2018,2018/07/12,Sportpark Maarschalkerweerd,Utrecht,United Arab Emirates,bat,Thailand,1147732
Papua New Guinea,Scotland,female,2018,2018/07/14,Sportpark Maarschalkerweerd,Utrecht,Scotland,field,Scotland,1147734
Thailand,Uganda,female,2018,2018/07/14,VRA Ground,Amstelveen,Uganda,field,Thailand,1147735
